OID_,ID,Z_start,Z_end,Weight,Esc,Total,LConn,LLen,LFrac,LAC,LSin,LBear,HMf,HMb,MHDWp200,NQPDHWp200,BtHWp200,TPBtHWp200,TPDWp200,Lnk200,Len200,AngD200,WtWp200,Jnc200,Con200,MGLHWp200,MCFWp200,DivHWp200,HullA200,HullP200,HullR200,HullB200,HullSI200,MHDWp400,NQPDHWp400,BtHWp400,TPBtHWp400,TPDWp400,Lnk400,Len400,AngD400,WtWp400,Jnc400,Con400,MGLHWp400,MCFWp400,DivHWp400,HullA400,HullP400,HullR400,HullB400,HullSI400,MHDWp600,NQPDHWp600,BtHWp600,TPBtHWp600,TPDWp600,Lnk600,Len600,AngD600,WtWp600,Jnc600,Con600,MGLHWp600,MCFWp600,DivHWp600,HullA600,HullP600,HullR600,HullB600,HullSI600,MHDWp800,NQPDHWp800,BtHWp800,TPBtHWp800,TPDWp800,Lnk800,Len800,AngD800,WtWp800,Jnc800,Con800,MGLHWp800,MCFWp800,DivHWp800,HullA800,HullP800,HullR800,HullB800,HullSI800,MHDWp1000,NQPDHWp1000,BtHWp1000,TPBtHWp1000,TPDWp1000,Lnk1000,Len1000,AngD1000,WtWp1000,Jnc1000,Con1000,MGLHWp1000,MCFWp1000,DivHWp1000,HullA1000,HullP1000,HullR1000,HullB1000,HullSI1000,MHDWpn,NQPDHWpn,BtHWpn,TPBtHWpn,TPDWpn,Lnkn,Lenn,AngDn,WtWpn,Jncn,Conn,MGLHWpn,MCFWpn,DivHWpn,HullAn,HullPn,HullRn,HullBn,HullSIn,OBJECTID,Shape_Length_1,ID_1,Gate,Z_start_1,Z_end_1,Weight_1,Esc_1,Shade,Width,Total_1,Shape_Length
1,95,18.8691006,18.8691006,1958.0000000,0.0000000,3.0000000,4.0000000,12.4366245,0.9999999,2.0156314,1.0001481,323.2806702,10.8391924,10.8391924,114.5916061,1290.3586426,179547952.0000000,4198.1914062,1352.3796387,40.0000000,248.9084320,308.6354065,40139.0000000,25.0000000,80.0000000,38.9356537,29.9433651,1.2598085,2064.0017090,186.3039398,65.5685806,304.4090271,1.3382096,252.6426392,1620.0755615,713494528.0000000,4749.1005859,1443.7666016,191.0000000,1702.8813477,3498.8627930,137888.0000000,120.0000000,382.0000000,79.3079910,49.0409546,1.6610711,11367.1923828,446.0040588,162.6256409,3.7987015,1.3925620,350.3019104,1831.1375732,1330195072.0000000,5329.7280273,1706.0156250,535.0000000,7477.1918945,13237.8984375,238428.0000000,298.0000000,946.0000000,118.9707413,57.2334175,2.3733916,113139.5234375,1352.6486816,346.0708618,339.2460327,1.2869030,413.0716858,1909.7873535,1680137600.0000000,5364.3334961,1677.0848389,1015.0000000,26706.0019531,26185.5605469,292405.0000000,576.0000000,1859.0000000,182.7656708,72.7149048,2.6377375,1419545.3750000,4655.0361328,897.9572144,309.3323975,1.2147502,512.0679932,1983.5227051,2034614912.0000000,5331.7226562,1681.1116943,1773.0000000,61910.9804688,58122.1171875,361068.0000000,1032.0000000,3308.0000000,363.2019043,177.7537842,2.4812586,3256166.2500000,6753.7451172,1363.5659180,119.5345840,1.1147382,864.8125000,2171.2055664,3584903424.0000000,5844.8305664,1958.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,937.8018188,397.4653625,2.4857745,5539375.0000000,8738.8583984,2038.1376953,164.2235565,1.0970812,95,,,none,,,,,2.0000000,1.0000000,,12.436625114863297
2,789,18.8691006,18.8691006,979.0000000,0.0000000,1.5000000,2.0000000,9.8368568,0.9999999,0.0009628,1.0000000,142.4779663,3.6891825,3.6891825,111.1951218,1538.7092285,34823356.0000000,790.6403198,637.5599365,36.0000000,228.4016571,192.7837830,36223.0000000,22.0000000,69.0000000,46.7168961,37.7022667,1.2076355,1862.5993652,173.4146576,70.2325363,308.3460083,1.2848200,252.6740265,1865.9439697,128730992.0000000,830.7734375,692.2175293,182.0000000,1567.3226318,3104.8090820,132145.0000000,117.0000000,372.0000000,87.6634445,58.9340019,1.5078322,11335.4335938,444.6484375,171.0940094,1.3203669,1.3879875,351.5736084,2080.4072266,228064256.0000000,906.2130127,838.8963623,527.0000000,7265.1962891,13147.8818359,233609.0000000,291.0000000,925.0000000,124.8956146,65.0238571,2.1288350,104814.4453125,1300.1007080,356.7331848,338.7292786,1.2832847,418.1159058,2165.0231934,284624032.0000000,905.0307617,835.4472046,998.0000000,25799.0878906,25638.4375000,291382.0000000,566.0000000,1824.0000000,192.3382568,80.2808762,2.4588482,1338909.8750000,4502.6386719,908.8032227,309.4921265,1.2049611,515.6383057,2237.4147949,350781888.0000000,905.5360107,835.6321411,1749.0000000,60916.4726562,56990.0859375,358959.0000000,1020.0000000,3268.0000000,369.0613708,181.7778015,2.3436608,3224115.7500000,6749.7949219,1353.3182373,119.3507614,1.1245031,871.2677002,2426.2785645,599826752.0000000,977.9582520,979.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,948.8750610,401.5769043,2.4109151,5539375.0000000,8738.8583984,2027.7980957,164.3401337,1.0970812,789,,,none,,,,,1.0000000,0.5000000,,9.836857167218998
3,802,18.8691006,18.8691006,979.0000000,0.0000000,1.5000000,4.0000000,7.8109703,0.9999999,0.0014794,0.9999999,144.4932709,2.9296687,2.9296687,111.8825073,2132.2929688,404781568.0000000,8783.4462891,705.5644531,42.0000000,270.5140381,308.6354065,42097.0000000,27.0000000,86.0000000,29.5480919,22.3228054,1.2956232,2543.6308594,206.1609039,56.1179085,260.9455872,1.3296846,255.0973663,2489.6345215,1753473536.0000000,11462.5253906,789.0480347,209.0000000,1881.6910400,3589.5886230,148511.0000000,129.0000000,409.0000000,69.8180923,38.7160301,1.9205585,11442.9296875,447.8568726,152.4031830,7.0934396,1.3948625,344.4613037,2682.3840332,3286330112.0000000,13087.8330078,861.3792114,545.0000000,7660.8754883,13472.0498047,241074.0000000,302.0000000,960.0000000,108.4309540,48.2396278,2.6205838,124557.2812500,1384.0050049,332.9053345,339.8533936,1.2237602,405.5638733,2758.7053223,4142564864.0000000,13200.1015625,840.7015991,1042.0000000,28011.3925781,27441.5195312,293271.0000000,588.0000000,1899.0000000,171.5637817,65.3775177,2.8191106,1615115.7500000,5019.1162109,1016.8184204,22.8931103,1.2411978,506.9160767,2834.7221680,5033521664.0000000,13160.4941406,846.4517212,1816.0000000,63118.9687500,59309.6367188,363706.0000000,1059.0000000,3389.0000000,356.2210693,174.1708374,2.6202843,3256166.2500000,6753.7451172,1375.9857178,119.7730560,1.1147382,855.9876099,3021.0405273,8899001344.0000000,14508.9423828,979.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,924.3543701,393.1834717,2.5614285,5539375.0000000,8738.8583984,2050.9916992,164.0934906,1.0970812,802,,,none,,,,,1.0000000,0.5000000,,7.810970606454399
4,817,18.8691006,18.8691006,979.0000000,0.0000000,1.7500000,4.0000000,12.1662941,1.0000000,35.2195892,1.0461601,30.2133484,20.7313232,20.7313232,120.5857086,822.1554565,279447072.0000000,5329.9809570,1018.9897461,65.0000000,416.9199524,795.5250854,62882.0000000,40.0000000,128.0000000,37.0039406,27.4436874,1.3431262,4554.8740234,273.7500916,76.5104904,16.3064251,1.3092492,245.7455139,1197.1385498,547079232.0000000,3333.4916992,966.9486694,277.0000000,2627.2302246,4932.7431641,176835.0000000,164.0000000,516.0000000,75.7703934,37.3074646,2.5970798,12457.4912109,454.8291626,159.7481689,12.1707029,1.3214664,320.9117737,1349.6387939,684645376.0000000,2696.4545898,901.2777710,595.0000000,8931.2460938,14719.5166016,251864.0000000,325.0000000,1041.0000000,114.9472504,49.4595566,2.8637333,195799.8281250,1804.2233887,478.2986145,0.7101086,1.3229958,376.5959167,1417.3266602,729747392.0000000,2366.6977539,852.5085449,1115.0000000,33649.5742188,31792.4511719,297768.0000000,623.0000000,2009.0000000,178.0833740,72.6669083,2.9195430,1888045.2500000,5252.0654297,1027.2260742,23.5437641,1.1626205,480.0988770,1496.5102539,800219264.0000000,2103.5493164,862.0736694,1917.0000000,66074.3203125,64068.3203125,369607.0000000,1115.0000000,3567.0000000,365.4539795,184.6282349,2.6936967,3320289.0000000,6801.7036133,1386.3739014,119.2908783,1.1087909,821.3980713,1681.7725830,1038542144.0000000,1693.2402344,979.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,917.3683472,393.3492737,2.6144211,5539375.0000000,8738.8583984,2050.2978516,163.6583557,1.0970812,817,,,none,,,,,1.0000000,0.7500000,,12.166294779975413
5,824,18.8691006,18.8691006,979.0000000,0.0000000,1.7500000,5.0000000,9.0096741,1.0000000,31.3757515,1.0312794,74.6959305,17.6686230,17.6686230,125.7100143,804.2532959,270545984.0000000,4902.5126953,1121.9511719,69.0000000,437.4853516,1034.3925781,65922.0000000,42.0000000,133.0000000,42.5438805,29.9998608,1.3819789,3738.3322754,242.8482056,63.5223427,344.4516602,1.2553997,239.8069611,1189.5734863,706599424.0000000,4164.3701172,984.3024292,320.0000000,3424.4294434,6091.5258789,180069.0000000,191.0000000,604.0000000,80.8551178,38.6158485,2.6643376,15756.7246094,518.1578369,167.4133453,14.4371643,1.3559644,317.4695435,1350.4921875,971020480.0000000,3769.3896484,924.0180664,631.0000000,10281.9306641,15606.0595703,258718.0000000,354.0000000,1136.0000000,126.1639709,55.5886230,2.7871051,314901.3125000,2251.3320312,636.5555420,333.6697388,1.2808397,367.3649597,1411.7789307,1122192768.0000000,3585.2280273,858.6091919,1167.0000000,37060.7773438,34458.4296875,300109.0000000,655.0000000,2109.0000000,187.3146210,81.1280212,2.8122802,2006129.0000000,5439.6811523,1080.5145264,122.2920227,1.1737570,470.1556091,1493.3222656,1327978624.0000000,3429.4045410,873.4836426,1987.0000000,70262.1562500,68207.0468750,372863.0000000,1138.0000000,3639.0000000,374.4518738,193.9952240,2.6020892,3506191.2500000,6855.7348633,1390.4575195,118.9122849,1.0667498,803.7306519,1678.5631104,2058399744.0000000,3356.0170898,979.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,915.6404419,395.3669739,2.5655167,5539375.0000000,8738.8583984,2046.7934570,163.3951416,1.0970812,824,,,none,,,,,1.0000000,0.7500000,,9.009674250966249
6,827,23.8712997,18.8691006,979.0000000,1.0000000,1.5000000,5.0000000,20.1252975,0.9999999,85.3235626,1.0520805,335.9978027,39.5433235,39.5433235,147.0064545,553.5013428,116508176.0000000,1839.6932373,1107.1364746,98.0000000,985.5512695,1558.2070312,65710.0000000,62.0000000,202.0000000,39.1328278,22.4891300,1.9109528,7934.9677734,341.0425415,90.9053421,17.9960442,1.1664392,256.2964783,1105.8388672,1326111488.0000000,6864.2260742,1394.5338135,486.0000000,7461.2275391,10722.7880859,226020.0000000,291.0000000,934.0000000,82.0178070,39.5124855,2.2970805,179866.6406250,1688.0583496,457.0967407,2.5285504,1.2607077,307.2246399,1258.2880859,3738044672.0000000,13346.8076172,1109.9677734,1106.0000000,33298.5859375,31090.2558594,296781.0000000,618.0000000,1993.0000000,146.1307526,65.4922867,2.4424469,1888045.2500000,5252.0654297,1013.2617188,24.7723846,1.1626205,386.8357239,1360.6882324,6208774144.0000000,18138.8261719,1091.7570801,1910.0000000,65956.3125000,63688.0273438,369434.0000000,1109.0000000,3549.0000000,328.2176208,178.4189148,2.2919090,3300609.2500000,6799.2744141,1409.4991455,119.7789230,1.1146054,461.1219177,1426.0670166,10076264448.0000000,24343.1679688,1048.8870850,2256.0000000,85378.9921875,86182.4531250,429323.0000000,1254.0000000,4008.0000000,485.7139893,260.8905029,2.2354767,4131939.2500000,7446.7968750,1548.4125977,118.2540207,1.0680097,687.5751343,1579.3006592,22857811968.0000000,37267.4023438,979.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,870.1282959,390.3182373,2.3312542,5539375.0000000,8738.8583984,2075.1999512,163.4504700,1.0970812,827,,,none,,,,,1.0000000,0.5000000,,19.380596112663770
7,829,18.8691006,18.8691006,979.0000000,0.0000000,1.5000000,6.0000000,8.0652447,1.0000000,37.5775681,1.0523773,0.1682131,17.1160545,17.1160545,129.6117249,1105.9338379,687961152.0000000,8892.1552734,1524.3850098,142.0000000,1102.7309570,2358.7885742,98417.0000000,100.0000000,320.0000000,34.1628532,22.4076118,1.6203539,5451.2060547,309.7507019,88.4993515,66.9462357,1.4006258,216.6470795,1591.0939941,5113998848.0000000,26839.9785156,1500.2719727,530.0000000,7288.6777344,12549.9638672,230095.0000000,290.0000000,922.0000000,67.6047745,36.2946510,1.9396732,113139.5234375,1352.6486816,295.1796875,342.7792664,1.2869030,272.5183716,1719.9666748,9034905600.0000000,33233.8437500,1087.1037598,1018.0000000,26914.3339844,26308.6015625,291402.0000000,577.0000000,1862.0000000,118.0728378,57.2435646,2.0680165,1452210.2500000,4689.2236328,941.1070557,139.6847382,1.2049320,361.0039062,1815.2911377,9714708480.0000000,29111.1933594,1056.1925049,1783.0000000,62069.9257812,58008.4687500,360871.0000000,1040.0000000,3332.0000000,282.1806030,164.2745361,1.9749047,3256166.2500000,6753.7451172,1414.9355469,120.3026276,1.1147382,429.2883606,1871.6262207,9771649024.0000000,24410.8984375,986.2180176,2222.0000000,84043.4765625,84608.5781250,411988.0000000,1244.0000000,3977.0000000,414.7305908,237.7826691,1.9502009,4120134.7500000,7429.3354492,1553.5021973,118.7361526,1.0660527,692.2146606,2037.6121826,9968939008.0000000,16253.3691406,979.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,824.1074829,389.7942200,2.0877526,5539375.0000000,8738.8583984,2088.0280762,163.6045380,1.0970812,829,,,none,,,,,1.0000000,0.5000000,,8.065244529812896
8,831,23.8712997,18.8691006,435.0000000,1.0000000,1.5000000,5.0000000,19.4960823,1.0000000,58.8116760,1.0191873,335.9978027,29.3654079,29.3654079,132.8205261,679.6419678,263417744.0000000,4110.7412109,555.0513916,113.0000000,1246.9565430,2127.7199707,74794.0000000,69.0000000,225.0000000,40.1285248,24.2184982,1.9221817,11077.0205078,410.8031921,108.3414078,19.2109165,1.2123690,244.1045227,1285.1970215,2797928960.0000000,14721.8603516,706.4082642,548.0000000,9227.2519531,12880.3916016,245706.0000000,319.0000000,1025.0000000,97.0319977,45.0967522,2.4592478,314227.6250000,2248.8969727,609.2393799,333.1963806,1.2808105,284.3338623,1398.0904541,7581646336.0000000,27262.8906250,496.5972595,1150.0000000,36350.1289062,33366.8398438,298424.0000000,649.0000000,2091.0000000,152.8671417,69.1218796,2.5489488,1970075.1250000,5402.1440430,1101.5241699,123.2587585,1.1787988,366.3791809,1505.1585693,13162556416.0000000,38295.5390625,491.8789062,1977.0000000,69721.8515625,67952.0468750,372672.0000000,1138.0000000,3639.0000000,337.6837769,183.4175415,2.3761697,3490883.0000000,6849.2265625,1410.3079834,119.7158127,1.0693944,448.2593384,1576.8792725,20818755584.0000000,50451.6054688,480.7253113,2277.0000000,86497.3125000,87518.8671875,438047.0000000,1263.0000000,4037.0000000,505.2092896,269.8413086,2.3068407,4218611.0000000,7520.2153320,1618.0118408,92.8702927,1.0667956,663.9415283,1724.3514404,48635678720.0000000,79295.6640625,435.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,870.9595337,390.6182861,2.3853965,5539375.0000000,8738.8583984,2074.7124023,163.4040680,1.0970812,831,,,none,,,,,1.0000000,0.5000000,,18.748916195591494
9,843,18.8691006,18.8691006,979.0000000,0.0000000,1.5000000,4.0000000,6.5282526,0.9999999,21.6805973,1.0154560,167.6867523,10.5783195,10.5783195,120.0481415,1482.1101074,1093708800.0000000,15826.1347656,1530.8114014,118.0000000,861.1411743,1894.0981445,93602.0000000,76.0000000,237.0000000,37.7084503,25.7640457,1.5310066,6718.6533203,324.8587646,102.8496399,58.1153831,1.2499628,208.7628479,1904.3132324,5229304320.0000000,29551.9765625,1245.1578369,444.0000000,5309.7934570,10578.6328125,208136.0000000,251.0000000,795.0000000,66.1819611,33.4188232,2.2867532,26333.8730469,646.9867554,180.8650665,19.1887398,1.2649292,282.3698120,2055.7221680,7976821760.0000000,30316.6601562,1031.9147949,830.0000000,18628.9863281,20975.2167969,281467.0000000,479.0000000,1543.0000000,128.4057770,55.5144920,2.4347880,799601.5625000,3549.1599121,762.6719360,24.3277531,1.2536249,341.5849609,2116.4250488,9140595712.0000000,28648.1542969,933.0351562,1489.0000000,50662.4882812,46686.3007812,325028.0000000,883.0000000,2832.0000000,229.9671631,116.1989136,2.3694074,2513315.7500000,6018.6625977,1244.9606934,154.4167786,1.1469463,429.1000671,2190.2145996,11054004224.0000000,28085.5898438,910.8318481,2141.0000000,79614.4531250,78326.3984375,389155.0000000,1203.0000000,3843.0000000,397.0209656,211.8172607,2.2712514,3764963.2500000,7090.8066406,1452.5427246,115.0213089,1.0627245,735.9220581,2369.7648926,17340463104.0000000,28271.9101562,979.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,887.3816528,391.5991821,2.3497109,5539375.0000000,8738.8583984,2071.0859375,163.2849731,1.0970812,843,,,none,,,,,1.0000000,0.5000000,,6.528253094642647
10,844,18.8691006,18.8691006,979.0000000,0.0000000,1.7500000,5.0000000,11.2924728,1.0000000,35.4551582,1.0482866,141.0358429,20.4520893,20.4520893,127.7184525,877.2722168,347950624.0000000,5681.4584961,1268.9899902,86.0000000,568.9769287,1283.3858643,76321.0000000,56.0000000,177.0000000,43.8931923,32.0165215,1.3512993,4554.8740234,273.7500916,85.5427399,26.9911022,1.3092492,230.6201782,1274.5477295,1440685952.0000000,8151.7397461,1081.4395752,366.0000000,4157.6123047,8430.1650391,191476.0000000,214.0000000,679.0000000,76.3225937,38.8930511,2.6129751,19026.7636719,576.9002075,196.2526550,18.7724838,1.3919594,304.3049622,1426.6903076,2169016064.0000000,8248.6015625,956.2749634,690.0000000,13792.6748047,17993.2167969,265746.0000000,388.0000000,1243.0000000,126.5102005,57.7935829,2.7048304,489905.2187500,2852.5927734,630.0443726,334.2903137,1.3217753,351.9731445,1483.9185791,2577003520.0000000,8078.4272461,869.0629883,1260.0000000,41249.9179688,37851.1953125,304371.0000000,729.0000000,2342.0000000,190.3678436,88.8406067,2.6947584,2185626.7500000,5590.2690430,1089.6601562,122.1651611,1.1378357,455.0532837,1567.8297119,3207618048.0000000,8144.1708984,880.7989502,2054.0000000,74746.5156250,72030.4375000,378078.0000000,1165.0000000,3726.0000000,380.9228210,202.3723602,2.5073693,3535578.2500000,6875.9428711,1399.7286377,118.8357697,1.0641289,779.9332275,1751.5859375,5357958656.0000000,8735.6220703,979.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,906.1599121,395.4229736,2.5083373,5539375.0000000,8738.8583984,2052.1127930,163.1765442,1.0970812,844,,,none,,,,,1.0000000,0.7500000,,11.292472741963334
