OID_,ID,Z_start,Z_end,Weight,Esc,Total,LConn,LLen,LFrac,LAC,LSin,LBear,HMf,HMb,MHDWp200,NQPDHWp200,BtHWp200,TPBtHWp200,TPDWp200,Lnk200,Len200,AngD200,WtWp200,Jnc200,Con200,MGLHWp200,MCFWp200,DivHWp200,HullA200,HullP200,HullR200,HullB200,HullSI200,MHDWp400,NQPDHWp400,BtHWp400,TPBtHWp400,TPDWp400,Lnk400,Len400,AngD400,WtWp400,Jnc400,Con400,MGLHWp400,MCFWp400,DivHWp400,HullA400,HullP400,HullR400,HullB400,HullSI400,MHDWp600,NQPDHWp600,BtHWp600,TPBtHWp600,TPDWp600,Lnk600,Len600,AngD600,WtWp600,Jnc600,Con600,MGLHWp600,MCFWp600,DivHWp600,HullA600,HullP600,HullR600,HullB600,HullSI600,MHDWp800,NQPDHWp800,BtHWp800,TPBtHWp800,TPDWp800,Lnk800,Len800,AngD800,WtWp800,Jnc800,Con800,MGLHWp800,MCFWp800,DivHWp800,HullA800,HullP800,HullR800,HullB800,HullSI800,MHDWp1000,NQPDHWp1000,BtHWp1000,TPBtHWp1000,TPDWp1000,Lnk1000,Len1000,AngD1000,WtWp1000,Jnc1000,Con1000,MGLHWp1000,MCFWp1000,DivHWp1000,HullA1000,HullP1000,HullR1000,HullB1000,HullSI1000,MHDWpn,NQPDHWpn,BtHWpn,TPBtHWpn,TPDWpn,Lnkn,Lenn,AngDn,WtWpn,Jncn,Conn,MGLHWpn,MCFWpn,DivHWpn,HullAn,HullPn,HullRn,HullBn,HullSIn,PC,x,y,z,OBJECTID,Shape_Length_1,ID_1,Gate,Z_start_1,Z_end_1,Weight_1,Esc_1,Shade,Width,Total_1,Shape_Length
1,797,8.8690996,8.8690996,123.0000000,0.0000000,1.5000000,2.0000000,28.6953621,1.0000000,89.1700592,1.4039910,158.2681427,44.1995316,44.1995316,142.2733307,31.9634800,292494.0000000,89.1823807,63.5647545,20.0000000,303.3526001,648.2413330,2460.0000000,16.0000000,50.0000000,93.4668198,68.6428223,1.3848275,4288.9902344,277.2782593,102.7161636,188.2993164,1.4264834,332.1984558,272.6389465,10061400.0000000,87.5057907,52.2579384,185.0000000,1712.7408447,4195.6655273,81882.0000000,128.0000000,403.0000000,127.7983170,60.8234367,2.1570475,7475.5815430,341.4040222,113.2818604,220.4379578,1.2407446,422.0698547,568.7874146,27140812.0000000,110.9825592,99.0565109,563.0000000,8714.2558594,13329.5996094,220739.0000000,320.0000000,1028.0000000,167.7902985,60.8687096,3.2259808,214920.3281250,1890.9558105,448.2915039,1.3281739,1.3239617,485.0353088,685.1490479,36636412.0000000,115.0218735,107.1114883,1125.0000000,34424.1796875,32352.6054688,297779.0000000,630.0000000,2030.0000000,228.9611511,75.2194061,3.7914083,1901900.5000000,5253.8286133,990.5894775,142.6605530,1.1549261,568.2579346,766.0974731,45624392.0000000,115.7384415,108.5312500,1941.0000000,67733.4218750,64900.9804688,371011.0000000,1123.0000000,3593.0000000,401.7759094,177.3324280,3.4105029,3448932.2500000,6838.2099609,1397.8637695,122.1432877,1.0789227,870.2785645,951.1253662,75431472.0000000,122.9835587,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,919.1296997,394.7563782,2.9926183,5539375.0000000,8738.8583984,2106.3537598,164.8235779,1.0970812,0,,,,797,,,none,,,,,1.0000000,0.5000000,,28.695360415964938
2,814,8.8690996,8.8690996,123.0000000,0.0000000,1.5000000,4.0000000,55.3710060,1.0000001,179.8390350,1.3635006,233.3213348,88.2037659,88.2037659,140.5470276,31.8053474,1018686.0000000,320.6694336,76.3046875,24.0000000,334.0065613,727.9904175,2952.0000000,18.0000000,56.0000000,61.9187202,42.3271332,1.4546072,4827.7338867,291.5984802,74.7136917,230.6476898,1.4015782,329.1600647,324.8789673,43046064.0000000,417.1773376,63.3194046,215.0000000,2089.0202637,5233.4101562,98508.0000000,146.0000000,462.0000000,90.5802307,32.7354202,3.1599686,8282.9160156,371.0970459,83.3755341,356.8850098,1.3230671,417.8039856,613.4005737,133780952.0000000,550.8792725,105.1806641,605.0000000,10676.7724609,14605.0732422,235212.0000000,343.0000000,1102.0000000,134.6692963,42.9365921,3.7132967,403516.1250000,2667.9782715,615.6561279,330.8563538,1.4037631,471.1007080,710.2982788,181855136.0000000,573.0396118,107.5298996,1168.0000000,37961.3046875,34756.7265625,299449.0000000,654.0000000,2106.0000000,191.4739380,69.1330414,3.5763836,2132499.5000000,5540.3872070,1083.5760498,124.2463760,1.1454639,557.4241943,794.7551270,226435376.0000000,576.4692993,109.7453232,1993.0000000,71353.0390625,68778.1093750,375169.0000000,1140.0000000,3645.0000000,372.3103333,183.7021484,3.1977952,3520442.0000000,6859.1689453,1391.2277832,120.4378891,1.0634962,854.5293579,977.8982544,377016160.0000000,614.6875610,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,877.1262817,390.2155762,2.8662467,5539375.0000000,8738.8583984,2073.1123047,164.1182251,1.0970812,0,,,,814,,,none,,,,,1.0000000,0.5000000,,55.371001033031533
3,2638,13.8690996,8.8690996,123.0000000,1.0000000,1.5000000,4.0000000,5.0000000,1.0000000,0.0000000,1.0000000,,1.8750000,1.8750000,142.7397308,1303.5228271,99246736.0000000,2832.5629883,155.3325348,139.0000000,1470.4476318,2687.1479492,55028.0000000,108.0000000,345.0000000,31.3693638,19.6928902,1.7178371,11362.8535156,509.7175598,151.3410034,22.7762470,1.8195412,251.8711548,1956.9458008,845383104.0000000,5473.1069336,211.1104126,710.0000000,15546.2021484,17226.3417969,234937.0000000,425.0000000,1369.0000000,92.2789764,45.8211250,2.0306466,654454.6875000,3173.6157227,711.8854980,23.5873756,1.2246704,302.4254150,2119.7717285,2062848896.0000000,7744.4248047,149.1151123,1343.0000000,44654.4218750,41890.4921875,309205.0000000,795.0000000,2547.0000000,165.2250824,86.9396973,2.0719738,2246362.5000000,5668.2524414,1110.9439697,124.2874832,1.1381741,378.7803650,2236.3229980,3491988736.0000000,10224.7285156,151.0769348,2103.0000000,77544.2187500,76921.5859375,387813.0000000,1186.0000000,3791.0000000,355.5518188,204.8276062,1.9837561,3711801.0000000,7053.3476562,1418.4797363,120.5433884,1.0665864,464.0449219,2317.4113770,5359249920.0000000,13001.6591797,148.2528687,2321.0000000,91085.5625000,92247.2343750,461561.0000000,1277.0000000,4086.0000000,519.2844849,287.0774231,1.9737686,4591215.5000000,7800.4394531,1616.2407227,91.7819977,1.0546311,639.7569580,2448.0517578,11586958336.0000000,18891.3906250,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,825.0586548,390.7850952,2.0996215,5539375.0000000,8738.8583984,2094.6906738,163.6554260,1.0970812,0,,,,2638,,,none,,,,,1.0000000,0.5000000,,0.000000000000000
4,2639,13.8690996,8.8690996,123.0000000,1.0000000,1.5000000,4.0000000,5.0024405,1.0000000,0.0000000,1.0000000,138.6588287,1.8759152,1.8759152,146.4679413,1693.6507568,159465808.0000000,3564.7431641,265.7716675,193.0000000,2032.2810059,4251.9555664,94612.0000000,131.0000000,420.0000000,41.5552177,26.6180248,1.6856447,13230.1347656,517.9172363,149.2639313,23.6936855,1.6134168,236.0308228,2234.3891602,1567703680.0000000,9822.2626953,218.4713135,648.0000000,12774.9482422,15801.9814453,245927.0000000,365.0000000,1170.0000000,87.4310608,46.0083923,1.9294431,485277.0312500,2845.9104004,587.8333130,331.9629822,1.3281369,278.6050110,2356.9462891,3165029632.0000000,11934.1025391,143.0096436,1248.0000000,41011.2226562,37370.1171875,302206.0000000,720.0000000,2314.0000000,146.8386993,76.4087219,2.0220137,2185626.7500000,5590.2690430,1113.6994629,124.3689957,1.1378357,359.6372986,2467.7443848,3948804352.0000000,11900.1416016,142.6165314,2049.0000000,74608.3984375,71589.9218750,377673.0000000,1162.0000000,3717.0000000,325.0587158,188.7351227,1.9436728,3535578.2500000,6875.9428711,1421.1259766,120.6143799,1.0641289,446.0758057,2545.5898438,4567527936.0000000,11354.7617188,140.8211212,2300.0000000,90046.4140625,91214.1015625,448185.0000000,1271.0000000,4066.0000000,492.7406006,275.9933777,1.9326597,4420047.0000000,7626.8164062,1617.7148438,91.8817520,1.0472487,645.6881104,2686.2565918,6575021056.0000000,10719.9218750,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,824.5830078,391.3540649,2.0704403,5539375.0000000,8738.8583984,2097.8251953,163.6411591,1.0970812,0,,,,2639,,,none,,,,,1.0000000,0.5000000,,0.156235495212418
5,2640,13.8690996,8.8690996,123.0000000,1.0000000,1.5000000,4.0000000,5.0151186,1.0000000,0.0000000,1.0000000,168.3464355,1.8806695,1.8806695,149.8954010,1161.5659180,115224928.0000000,2263.2028809,196.8464203,122.0000000,1121.0118408,2105.5073242,88654.0000000,87.0000000,272.0000000,39.9823608,26.1354485,1.6086739,3569.2172852,225.4445038,61.7978821,121.5836487,1.1331736,220.9879303,1541.3692627,1046816832.0000000,6793.5371094,145.2718811,374.0000000,4222.9277344,8508.6074219,191460.0000000,210.0000000,664.0000000,61.8248634,37.0995674,1.7620329,16073.8193359,519.6367798,141.1558380,27.4499874,1.3368134,293.3164978,1678.6730957,2050584832.0000000,8286.7568359,117.3462524,643.0000000,11417.6103516,16192.3359375,259096.0000000,358.0000000,1148.0000000,102.6563110,52.7206306,1.9475993,409552.4375000,2674.6962891,593.5552368,334.1414795,1.3900472,346.3096313,1740.7252197,2263751168.0000000,7370.0161133,108.1081619,1189.0000000,38568.9921875,35465.0820312,300771.0000000,671.0000000,2158.0000000,165.2026215,79.9743805,2.0713203,2132499.5000000,5540.3872070,1119.6812744,123.2203369,1.1454639,456.2723389,1825.4222412,2351056640.0000000,6213.3950195,110.1118317,2008.0000000,71915.4140625,69071.4843750,376305.0000000,1145.0000000,3661.0000000,362.2390137,196.3670959,2.0026872,3520442.0000000,6859.1689453,1428.5101318,119.7311478,1.0634962,790.0126343,2008.0435791,2558560512.0000000,4171.4794922,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,891.1212158,394.5025635,2.1771269,5539375.0000000,8738.8583984,2088.1806641,163.0644073,1.0970812,0,,,,2640,,,none,,,,,1.0000000,0.5000000,,0.389121023033305
6,2641,13.8690996,8.8690996,123.0000000,1.0000000,1.5000000,4.0000000,5.0025830,1.0000000,0.0000000,1.0000000,45.7309685,1.8759687,1.8759687,152.8670044,1094.6896973,89620256.0000000,2413.9916992,173.3822021,110.0000000,1084.4399414,1897.1201172,66342.0000000,75.0000000,236.0000000,36.0664940,22.9920235,1.6601347,3422.8325195,224.9177094,62.8424873,162.0819550,1.1761204,232.8766937,1508.0878906,754655360.0000000,5137.8774414,132.5721588,340.0000000,3873.6867676,7395.5517578,178242.0000000,187.0000000,589.0000000,58.9192429,33.5339279,1.8719500,13950.4697266,496.4327087,138.3534698,26.5447769,1.4057953,306.5444031,1649.4060059,1116236288.0000000,4502.4956055,112.6537857,585.0000000,8619.3496094,14751.3984375,247464.0000000,320.0000000,1022.0000000,91.6119003,47.2258797,2.0394907,176321.2656250,1678.5251465,447.6211548,4.3705497,1.2715726,369.3088074,1721.9754639,1207763584.0000000,3891.6689453,106.7281036,1090.0000000,31087.4941406,29463.6679688,296800.0000000,614.0000000,1980.0000000,154.3282471,70.9201584,2.1991343,1799208.5000000,5192.5395508,1010.0322876,25.7284126,1.1925271,474.2645569,1798.6212158,1228855552.0000000,3221.6689453,107.3559189,1885.0000000,65143.8320312,62060.2109375,367015.0000000,1096.0000000,3507.0000000,328.8207092,180.4665833,2.0949638,3300609.2500000,6799.2744141,1426.4490967,119.8481674,1.1146054,825.4139404,1984.5775146,1260211456.0000000,2054.6501465,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,862.7292480,393.5357666,2.1949623,5539375.0000000,8738.8583984,2088.6816406,163.1613922,1.0970812,0,,,,2641,,,none,,,,,1.0000000,0.5000000,,0.160738451765348
7,2761,8.8690996,8.8690996,123.0000000,0.0000000,1.5000000,5.0000000,17.1500511,1.0000000,78.2015839,1.2637618,160.6377716,35.7568665,35.7568665,140.6959076,280.7206726,12140346.0000000,518.6303711,127.7117920,87.0000000,789.8056030,1845.6894531,32936.0000000,65.0000000,206.0000000,34.8977165,16.9932289,2.2922800,5586.0805664,308.1004639,74.4875107,156.9281158,1.3522832,267.5111084,894.7512207,296617952.0000000,2133.4736328,161.7010193,497.0000000,7105.7866211,12023.8583984,205802.0000000,279.0000000,892.0000000,82.1208725,34.9975204,2.5886326,167098.6093750,1636.7520752,446.3649292,3.1139774,1.2758014,329.8912354,1080.3823242,784478720.0000000,3042.3696289,137.8345032,1060.0000000,28936.2304688,27847.3378906,293460.0000000,600.0000000,1936.0000000,141.9057159,62.5718803,2.5405188,1648068.5000000,5068.3774414,1005.2628174,25.2360306,1.2403743,406.1585083,1179.3541260,1156992256.0000000,3519.5322266,134.8184357,1861.0000000,64499.0820312,60447.5273438,364529.0000000,1081.0000000,3461.0000000,308.8829346,173.1191711,2.3535092,3256166.2500000,6753.7451172,1418.1691895,120.0659332,1.1147382,475.7729492,1242.4445801,1584814848.0000000,3931.9562988,129.6322479,2245.0000000,84874.3281250,85852.1406250,422103.0000000,1251.0000000,3999.0000000,451.9470825,252.0347900,2.2777748,4131939.2500000,7446.7968750,1556.9020996,118.5239716,1.0680097,708.8903198,1400.8143311,3029988864.0000000,4940.0971680,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,840.7029419,391.4436646,2.3254530,5539375.0000000,8738.8583984,2086.3696289,163.4249268,1.0970812,0,,,,2761,,,none,,,,,1.0000000,0.5000000,,17.150051178882620
8,2762,8.8690996,8.8690996,123.0000000,0.0000000,1.5000000,2.0000000,4.5957146,1.0000000,0.0000000,1.0000000,203.6355133,1.7233930,1.7233930,120.9806290,237.0027618,307623.0000000,98.3089294,81.4273758,21.0000000,277.8915405,627.5144653,2583.0000000,12.0000000,38.0000000,50.6094398,34.9800148,1.3917387,3951.3210449,259.1077271,82.6805649,20.1020947,1.3520992,327.9367371,414.3707886,7516038.0000000,80.7741776,38.8780289,147.0000000,1281.9165039,2879.7299805,61188.0000000,101.0000000,317.0000000,109.9665146,55.5219765,2.1339204,5605.9482422,308.1134644,98.7797546,12.1374140,1.3476044,433.4125977,738.2040405,26232456.0000000,109.3572540,95.8090591,524.0000000,7615.6284180,12796.3808594,213354.0000000,291.0000000,929.0000000,153.8716278,58.3820419,3.1774771,176321.2656250,1678.5251465,503.1558228,1.6134211,1.2715726,500.0037231,858.4146729,36180880.0000000,114.4177475,105.9040527,1076.0000000,30543.1191406,28652.2128906,294234.0000000,610.0000000,1967.0000000,217.0985565,87.1249619,3.0086823,1796961.3750000,5192.3486328,1053.2933350,23.4117756,1.1939306,583.0092163,937.8430786,45132328.0000000,115.1499023,107.3547592,1881.0000000,65053.3164062,61957.6953125,367011.0000000,1096.0000000,3507.0000000,388.3409729,200.7348022,2.7360940,3300609.2500000,6799.2744141,1381.4775391,118.2196884,1.1146054,890.8281860,1123.6721191,75431472.0000000,122.9835587,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,918.8031006,402.9620667,2.6284192,5539375.0000000,8738.8583984,2028.6252441,163.2364044,1.0970812,0,,,,2762,,,none,,,,,1.0000000,0.5000000,,4.595714340081264
9,2763,8.8690996,8.8690996,123.0000000,0.0000000,1.5000000,2.0000000,16.5924931,0.9999999,79.7490616,1.2933048,239.8129730,36.1280823,36.1280823,119.1505737,33.1689110,307623.0000000,98.3089294,81.4273758,21.0000000,277.8915405,627.5144653,2583.0000000,11.0000000,34.0000000,40.0288467,30.8610744,1.2924887,3951.3210449,259.1077271,95.6977921,39.4130249,1.3520992,329.6430664,201.2295837,7192794.0000000,80.0192719,37.3830109,139.0000000,1190.0122070,2778.3759766,58560.0000000,93.0000000,291.0000000,100.5384750,55.6517372,1.9304043,5605.9482422,308.1134644,109.5920563,37.1608887,1.3476044,436.0471802,522.8168945,25847344.0000000,108.5765686,94.2490997,508.0000000,7246.0283203,12228.0888672,210223.0000000,283.0000000,905.0000000,144.9055481,63.9780006,2.6624339,167098.6093750,1636.7520752,501.5299072,5.3103213,1.2758014,504.7856750,646.8827515,36159908.0000000,114.4159775,105.9005966,1064.0000000,29396.9277344,28121.6523438,293904.0000000,602.0000000,1942.0000000,208.4425507,95.4864883,2.5366204,1771184.6250000,5148.3208008,1063.2730713,25.0832005,1.1908512,585.5937500,724.0345459,44903980.0000000,114.9360275,106.9273605,1865.0000000,64545.9179688,60622.5312500,364767.0000000,1084.0000000,3471.0000000,376.6817932,208.8432312,2.3501606,3256166.2500000,6753.7451172,1411.7087402,114.6567612,1.1147382,895.9750366,911.3690186,75431472.0000000,122.9835587,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,910.7557373,407.2375488,2.4002910,5539375.0000000,8738.8583984,2041.5701904,162.3988495,1.0970812,0,,,,2763,,,none,,,,,1.0000000,0.5000000,,16.592493666004458
10,2764,8.8690996,8.8690996,123.0000000,0.0000000,1.5000000,5.0000000,13.3465519,0.9999999,86.2155380,1.2203895,94.1666183,37.3357849,37.3357849,134.8635559,59.0271721,2279805.0000000,476.8417358,109.3129349,33.0000000,370.0566101,818.6520996,5333.0000000,22.0000000,68.0000000,41.0306129,25.5722427,1.6367197,4827.7338867,291.5984802,79.8646088,41.9426270,1.4015782,325.9288635,464.5194702,123562848.0000000,1209.9548340,90.1436310,287.0000000,3029.0871582,6385.0917969,136574.0000000,175.0000000,557.0000000,87.9741821,29.6361275,3.6454079,14270.7832031,537.1774902,190.1154633,22.7267838,1.6090811,401.8369446,690.7678223,391613184.0000000,1630.0695801,110.9353485,655.0000000,12867.5341797,16400.7753906,246990.0000000,365.0000000,1171.0000000,133.1027222,52.5053940,3.2942991,485277.0312500,2845.9104004,617.0986938,16.5320396,1.3281369,449.6768188,774.2846069,541750784.0000000,1709.6013184,108.5210648,1242.0000000,40693.3867188,37034.6406250,302126.0000000,716.0000000,2302.0000000,193.3410645,85.5540543,3.1161766,2185140.7500000,5590.0595703,1103.6394043,122.3050079,1.1380035,536.7106323,859.8950806,673376832.0000000,1719.0518799,110.6070480,2047.0000000,73913.0390625,71221.5312500,377671.0000000,1161.0000000,3713.0000000,374.5508118,202.4684143,2.8191905,3535578.2500000,6875.9428711,1413.5570068,118.9779739,1.0641289,831.9093018,1043.5465088,1128829568.0000000,1840.4449463,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,877.0365601,395.8605957,2.6613429,5539375.0000000,8738.8583984,2064.4677734,162.9760895,1.0970812,0,,,,2764,,,none,,,,,1.0000000,0.5000000,,13.346552387077967
