OID_,ID,Z_start,Z_end,Weight,Esc,Total,LConn,LLen,LFrac,LAC,LSin,LBear,HMf,HMb,MHDWp200,NQPDHWp200,BtHWp200,TPBtHWp200,TPDWp200,Lnk200,Len200,AngD200,WtWp200,Jnc200,Con200,MGLHWp200,MCFWp200,DivHWp200,HullA200,HullP200,HullR200,HullB200,HullSI200,MHDWp400,NQPDHWp400,BtHWp400,TPBtHWp400,TPDWp400,Lnk400,Len400,AngD400,WtWp400,Jnc400,Con400,MGLHWp400,MCFWp400,DivHWp400,HullA400,HullP400,HullR400,HullB400,HullSI400,MHDWp600,NQPDHWp600,BtHWp600,TPBtHWp600,TPDWp600,Lnk600,Len600,AngD600,WtWp600,Jnc600,Con600,MGLHWp600,MCFWp600,DivHWp600,HullA600,HullP600,HullR600,HullB600,HullSI600,MHDWp800,NQPDHWp800,BtHWp800,TPBtHWp800,TPDWp800,Lnk800,Len800,AngD800,WtWp800,Jnc800,Con800,MGLHWp800,MCFWp800,DivHWp800,HullA800,HullP800,HullR800,HullB800,HullSI800,MHDWp1000,NQPDHWp1000,BtHWp1000,TPBtHWp1000,TPDWp1000,Lnk1000,Len1000,AngD1000,WtWp1000,Jnc1000,Con1000,MGLHWp1000,MCFWp1000,DivHWp1000,HullA1000,HullP1000,HullR1000,HullB1000,HullSI1000,MHDWpn,NQPDHWpn,BtHWpn,TPBtHWpn,TPDWpn,Lnkn,Lenn,AngDn,WtWpn,Jncn,Conn,MGLHWpn,MCFWpn,DivHWpn,HullAn,HullPn,HullRn,HullBn,HullSIn,PC,OBJECTID,Shape_Length_1,ID_1,Gate,Z_start_1,Z_end_1,Weight_1,Esc_1,Shade,Width,Total_1,Shape_Length
1,27,23.6110001,31.4859009,632.0000000,0.0000000,1.2500000,5.0000000,44.1447296,0.9999999,78.5132294,1.1019102,108.0550537,39.5610657,38.3306122,133.0911560,144.1718597,6867458.5000000,670.3081665,649.9385376,97.0000000,3320.1853027,2578.0820312,10206.0000000,74.0000000,237.0000000,131.7217560,95.2274399,1.4719820,108744.4453125,1274.3781738,380.0834961,181.3341217,1.1884466,271.8894043,298.0556030,114697936.0000000,2278.6813965,718.9955444,549.0000000,17213.1621094,13909.5683594,55317.0000000,354.0000000,1144.0000000,307.5136414,211.1052856,1.5137718,669526.9375000,3176.1225586,708.4127808,186.9326782,1.1989928,402.7348022,430.9883423,171402624.0000000,1328.0150146,505.5354004,1105.0000000,42141.4218750,35018.1679688,122311.0000000,660.0000000,2136.0000000,537.7776489,345.7612305,1.5619633,1957350.0000000,5484.3779297,1315.5815430,210.6842804,1.2228590,576.3341064,678.1018066,285543040.0000000,1011.9074097,701.7341309,1767.0000000,71731.6406250,58438.6796875,294310.0000000,1019.0000000,3284.0000000,849.0736694,467.6038818,1.7803208,3686736.5000000,7037.6870117,1616.3099365,177.0271759,1.0690744,690.1334229,871.1752319,400280608.0000000,962.4943848,816.0089111,2307.0000000,88507.0156250,84872.5937500,464906.0000000,1283.0000000,4103.0000000,1024.3111572,539.9491577,1.8729228,4312670.5000000,7501.3989258,1801.8421631,183.8263397,1.0383132,838.1471558,987.0421143,494245888.0000000,805.8190308,632.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1360.0683594,728.4909668,1.8656033,5539375.0000000,8738.8583984,2478.8432617,176.7177277,1.0970812,0,27,,,none,,,,,0.5000000,0.7500000,,43.387768126413306
2,33,23.6110001,26.7544994,632.0000000,0.0000000,1.7500000,4.0000000,32.5712242,1.0000000,5.0520258,1.0007592,281.6509399,17.1478119,16.4601707,124.8013992,223.5157623,16566404.0000000,1578.2292480,683.6011353,81.0000000,3041.7968750,2434.6450195,11267.0000000,59.0000000,190.0000000,107.2516632,81.3579330,1.3841560,104121.4140625,1262.7551270,387.6754150,175.7575378,1.2186763,277.6760864,365.4524536,81598832.0000000,1535.7442627,716.6399536,545.0000000,17491.5703125,13828.3007812,55262.0000000,353.0000000,1143.0000000,296.5264893,216.2353210,1.4161400,707845.1875000,3199.7336426,683.2334595,185.5124969,1.1510110,409.1436768,511.8150024,169350768.0000000,1222.9444580,519.1964111,1121.0000000,42917.2656250,34850.7929688,128586.0000000,663.0000000,2152.0000000,503.1365051,348.4200745,1.4432135,2196406.7500000,5551.7177734,1302.7586670,209.1151581,1.1166887,572.9841309,761.3987427,320403744.0000000,1112.1954346,716.4370728,1785.0000000,71597.8906250,58249.1406250,301076.0000000,1031.0000000,3320.0000000,746.3630981,453.0177307,1.6275486,3686736.5000000,7037.6870117,1625.4173584,175.7210693,1.0690744,682.7285156,951.0164185,435318112.0000000,1037.6740723,821.2879639,2321.0000000,89785.7734375,88145.7031250,467602.0000000,1287.0000000,4116.0000000,874.9797974,527.1137695,1.6569623,4312670.5000000,7501.3989258,1806.4799805,182.6267090,1.0383132,828.5996704,1065.1541748,527428320.0000000,859.9197388,632.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1211.8114014,710.9611206,1.6822022,5539375.0000000,8738.8583984,2488.0151367,175.8656464,1.0970812,40003540,33,,,none,,,,,0.7500000,1.0000000,,32.400824594806735
3,661,25.8565006,27.2021008,319.0000000,0.0000000,0.7500000,5.0000000,49.4981079,0.9999999,151.6624451,1.2969472,131.6290283,37.9557304,37.8295784,106.2631149,137.9314117,11075328.0000000,1142.4578857,300.8029175,81.0000000,3172.7592773,3079.4094238,9905.0000000,58.0000000,188.0000000,105.7726593,74.5373077,1.5775245,118102.3593750,1394.8696289,310.7658386,313.8136292,1.3109882,285.0798340,321.4645386,146268928.0000000,2713.2211914,442.3776550,601.0000000,20863.4082031,16068.3291016,66787.0000000,381.0000000,1235.0000000,335.1768799,235.0819397,1.5172093,917599.5000000,3604.9611816,785.3555298,230.1820374,1.1270369,442.9958191,547.6030273,320760672.0000000,2142.4182129,353.7024841,1294.0000000,51145.9765625,39161.0507812,185632.0000000,767.0000000,2494.0000000,750.9520874,399.2172546,1.8104109,2517920.7500000,5831.1933594,1341.0803223,209.0513000,1.0746399,575.3289185,823.3510132,620199808.0000000,2067.7031250,461.2255859,1974.0000000,77791.0937500,68944.9687500,378003.0000000,1139.0000000,3658.0000000,923.3922729,470.3697205,1.9189702,4020596.5000000,7286.4545898,1654.8885498,173.9659882,1.0508293,637.5275879,944.7410278,844044608.0000000,2031.0081787,430.3627625,2363.0000000,91839.2421875,92484.9843750,482421.0000000,1294.0000000,4140.0000000,1033.2113037,535.7916870,1.9255689,4431366.5000000,7631.6523438,1879.0933838,193.7069855,1.0458987,769.0729980,1050.3428955,1060355456.0000000,1728.8046875,319.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1314.4503174,700.5963135,1.8980892,5539375.0000000,8738.8583984,2479.5854492,175.6175690,1.0970812,0,661,,,none,,,,,0.2500000,0.5000000,,49.172210191012084
4,663,34.6579018,33.2126999,319.0000000,0.0000000,0.5000000,5.0000000,67.0469208,1.0000000,53.4063034,1.0687824,194.2006073,15.0650902,15.1554155,129.3420715,186.4690857,13853626.0000000,1351.3934326,358.9383240,71.0000000,3460.7204590,2973.6801758,11463.0000000,53.0000000,178.0000000,155.1287689,118.6002884,1.4215389,152848.6718750,1529.2907715,311.8491211,158.8630524,1.2176111,283.1944275,353.9744568,121246304.0000000,2201.0034180,413.8246460,585.0000000,19454.4921875,16887.3203125,63097.0000000,388.0000000,1254.0000000,371.6482239,228.3145905,1.7581798,784367.6875000,3372.5266113,672.4296265,241.2042236,1.1539347,432.1941223,610.9559326,487529248.0000000,2996.2575684,369.0061646,1343.0000000,49589.6875000,40447.8007812,191193.0000000,800.0000000,2583.0000000,559.6880493,369.3860474,1.6136686,2318548.5000000,5803.6064453,1238.6679688,183.4426727,1.1560320,573.9719238,898.7403564,943175040.0000000,3001.8188477,446.0274048,2041.0000000,77054.2656250,69179.4062500,393624.0000000,1173.0000000,3761.0000000,683.5133057,442.2979126,1.5989231,3692947.7500000,7040.4125977,1490.5797119,174.7998505,1.0681031,627.8107910,998.5270996,1197601920.0000000,2828.8889160,427.3806458,2362.0000000,91124.8984375,92070.5390625,480362.0000000,1295.0000000,4143.0000000,754.0578613,481.9256592,1.6150358,4429944.5000000,7630.9775391,1754.7694092,194.5752869,1.0460495,768.5300903,1103.8834229,1333545856.0000000,2174.2145996,319.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1061.0340576,639.0805664,1.6545912,5539375.0000000,8738.8583984,2352.9694824,175.2904816,1.0970812,0,663,,,none,,,,,0.0000000,0.5000000,,67.017773667065967
5,669,24.5697994,28.1998997,319.0000000,0.0000000,0.7500000,5.0000000,81.2358322,0.9999999,24.7074966,1.0105381,297.8536072,20.3475342,20.0072117,118.3414688,133.6858063,4963427.5000000,557.6286621,287.0862122,71.0000000,2920.3024902,3232.1379395,9233.0000000,49.0000000,163.0000000,148.5761261,96.9324417,1.7674901,114012.7500000,1357.4916992,314.2671814,253.9443359,1.2862077,291.5611572,307.9085083,26949066.0000000,484.6547241,413.4441223,561.0000000,20576.2382812,15848.4541016,63454.0000000,364.0000000,1181.0000000,382.3895874,259.4939880,1.5236926,868689.6875000,3482.7648926,827.0224609,222.8067474,1.1111528,453.1921387,599.3700562,77480264.0000000,412.0223083,402.5280762,1367.0000000,52951.3203125,40403.4492188,213631.0000000,799.0000000,2591.0000000,799.5075684,441.2031555,1.7754499,2709697.2500000,6221.4399414,1446.8610840,206.2739410,1.1367140,572.9741211,877.6347046,139572816.0000000,437.2238464,505.1099243,2051.0000000,79659.9687500,70794.0703125,408263.0000000,1176.0000000,3772.0000000,928.2967529,503.9317627,1.8761001,4081797.5000000,7303.1767578,1755.4990234,172.6527863,1.0398300,618.8806152,967.5947266,164212688.0000000,396.0729370,434.1721191,2371.0000000,92511.3125000,93259.9921875,485520.0000000,1297.0000000,4149.0000000,1026.2681885,564.3701172,1.8726058,4431366.5000000,7631.6523438,1961.0860596,191.6113739,1.0458987,746.0753784,1072.7313232,204989184.0000000,334.2145996,319.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1295.3084717,731.1162109,1.8361663,5539375.0000000,8738.8583984,2578.9108887,174.6599579,1.0970812,0,669,,,none,,,,,0.2500000,0.5000000,,80.863402268508466
6,673,28.1998997,29.1238003,319.0000000,0.0000000,0.5000000,6.0000000,214.9317627,1.0000000,586.6074829,2.5943558,338.8384705,100.9877853,100.9300461,154.1120300,46.3242302,1842331.3750000,230.7361298,164.5302429,60.0000000,2628.9396973,2122.0251465,5978.0000000,49.0000000,166.0000000,227.7784119,134.9705505,1.7605053,145778.7500000,1570.8077393,323.1259460,238.1619873,1.3469206,292.2176819,215.2427521,17982456.0000000,330.2516479,343.4442749,534.0000000,23610.6855469,16690.2851562,56439.0000000,349.0000000,1134.0000000,430.1134033,258.1221619,1.7274685,1269656.8750000,4359.8911133,1126.7470703,201.5724182,1.1913930,461.3337097,583.4174805,77468296.0000000,389.3332825,459.2941284,1438.0000000,54021.3710938,41626.0703125,242988.0000000,837.0000000,2713.0000000,777.9217529,445.9236145,1.8366514,2895981.7500000,6426.2622070,1518.2291260,205.3711395,1.1347787,567.6659546,852.4647217,137649728.0000000,427.0242004,534.6790161,2150.0000000,82367.9765625,73785.1796875,431475.0000000,1223.0000000,3916.0000000,881.8007202,514.7575073,1.8549242,4180529.7500000,7377.1440430,1810.7330322,171.0457764,1.0359418,601.1230469,917.9525146,155502400.0000000,378.0923157,437.0977783,2378.0000000,92656.9375000,93863.3515625,487523.0000000,1300.0000000,4160.0000000,961.2778320,571.2318726,1.8334789,4431366.5000000,7631.6523438,1997.2381592,189.7252045,1.0458987,724.8534546,1023.5942383,195641216.0000000,318.9736633,319.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1217.2562256,737.3763428,1.7852372,5539375.0000000,8738.8583984,2632.1464844,173.5136871,1.0970812,40004162,673,,,no_4,,,,,0.0000000,0.5000000,,213.172079960005817
7,1019,35.8866005,35.9202995,319.0000000,0.0000000,0.7500000,5.0000000,72.5991592,1.0000000,215.5763550,4.3084531,206.1339417,54.1033058,54.1001472,121.7657318,56.2346954,1463359.3750000,224.5373230,158.3415833,30.0000000,1486.7816162,902.9924316,4800.0000000,23.0000000,78.0000000,116.3524704,61.2998047,2.3478718,57721.2343750,1068.3990479,240.8178253,132.4210815,1.5736984,301.4707031,187.2220459,14401680.0000000,309.3373718,302.6292725,408.0000000,13730.8906250,10738.1054688,45923.0000000,272.0000000,880.0000000,354.8287964,188.6057892,1.9633812,480579.4062500,2586.5268555,567.2901611,181.0075531,1.1077938,452.1586914,393.8048706,48243912.0000000,302.0622559,286.0195923,1149.0000000,41019.2187500,34538.0312500,151592.0000000,694.0000000,2246.0000000,533.3131104,332.9940491,1.7134863,1847101.3750000,5351.8593750,1159.8315430,210.9217377,1.2339818,590.1638184,643.8955688,104446448.0000000,327.6883545,336.7908020,1859.0000000,72871.8515625,61978.6406250,327632.0000000,1085.0000000,3485.0000000,683.5187378,418.0137634,1.6972220,3649878.5000000,6987.3803711,1486.2650146,173.8452148,1.0644873,672.4564819,798.2728271,147300912.0000000,355.8529968,392.9996643,2316.0000000,88482.1640625,87170.7421875,461971.0000000,1282.0000000,4101.0000000,760.3787842,456.4459534,1.7214245,4307772.5000000,7499.5092773,1661.9719238,181.5428619,1.0389701,824.0161743,917.8557739,195589536.0000000,318.8894043,319.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1082.6995850,623.1037598,1.7518982,5539375.0000000,8738.8583984,2348.3515625,174.6873779,1.0970812,0,1019,,,none,,,,,0.2500000,0.5000000,,72.566895288944025
8,1020,26.9349995,25.8565006,319.0000000,0.0000000,0.7500000,6.0000000,3.8568695,1.0000000,0.0000000,1.0000000,67.5917587,0.7231630,0.8242723,94.7511673,1446.2578125,31299442.0000000,2977.7290039,364.4393311,72.0000000,3076.8986816,3113.4819336,11803.0000000,50.0000000,168.0000000,103.7647018,85.0692215,1.2236053,104427.0390625,1312.7297363,292.2075500,311.6360779,1.3131908,286.7551575,1611.3745117,299397792.0000000,5619.0898438,428.5505981,573.0000000,20316.7988281,15774.9023438,65258.0000000,378.0000000,1223.0000000,327.9514160,239.0375214,1.3957891,837192.8750000,3463.8916016,798.5069580,228.8069611,1.1404945,449.1702881,1869.5690918,993067200.0000000,6347.7915039,386.7069397,1317.0000000,51129.0195312,39132.2890625,199793.0000000,776.0000000,2522.0000000,735.3422852,410.4672852,1.7019409,2433254.5000000,5745.2661133,1356.6201172,208.4038391,1.0795006,574.2942505,2136.8391113,2530547712.0000000,8981.2773438,476.0111694,1964.0000000,77005.2343750,67954.5000000,387529.0000000,1137.0000000,3651.0000000,897.5150146,477.3571777,1.8287907,4020596.5000000,7286.4545898,1676.3477783,173.8412781,1.0508293,630.7213135,2246.6462402,3759216896.0000000,9695.2373047,429.6211853,2363.0000000,92387.8125000,92928.6171875,481956.0000000,1294.0000000,4140.0000000,1005.4036255,542.0394287,1.8413407,4431366.5000000,7631.6523438,1898.0871582,193.3843689,1.0458987,762.3132935,2353.3947754,5042135552.0000000,8220.7031250,319.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1288.3275146,708.8656006,1.8240858,5539375.0000000,8738.8583984,2500.9365234,175.5198364,1.0970812,0,1020,,,none,,,,,0.2500000,0.5000000,,3.703009872551015
9,1021,26.9349995,26.7544994,319.0000000,0.0000000,0.7500000,5.0000000,7.8104720,1.0000000,0.0000000,1.0000000,165.9774628,1.4644635,1.4813854,100.4201584,784.2728882,27005824.0000000,2505.1303711,360.2778625,69.0000000,2998.0988770,2849.1035156,11507.0000000,49.0000000,161.0000000,98.7765961,79.2746277,1.2588793,101593.8203125,1288.1569824,290.6315613,193.2814331,1.2997518,292.7734375,951.3004150,116259072.0000000,2036.0665283,440.5830078,578.0000000,19623.7558594,15642.3554688,66331.0000000,373.0000000,1209.0000000,340.2020874,240.1002655,1.4378006,828293.1875000,3423.9086914,749.7180176,231.4060364,1.1262904,422.9744263,1129.7637939,387296832.0000000,2501.0646973,312.1250305,1215.0000000,46721.8046875,35804.1914062,157471.0000000,735.0000000,2384.0000000,576.9745483,376.5684509,1.5100682,2317797.5000000,5680.4555664,1352.3137207,208.4658813,1.1078501,572.9717407,1403.3082275,828534080.0000000,3009.0341797,420.0128174,1890.0000000,76650.5625000,66510.2890625,346794.0000000,1088.0000000,3502.0000000,809.5046387,464.4244080,1.7099038,3976153.5000000,7240.9248047,1634.0023193,175.1543579,1.0493371,656.4874268,1555.4510498,1178653952.0000000,3114.8117676,426.4623718,2349.0000000,91319.5390625,90888.1093750,479470.0000000,1293.0000000,4137.0000000,954.6312256,534.6693115,1.7725437,4431366.5000000,7631.6523438,1893.5450439,193.3933105,1.0458987,793.0126953,1661.1026611,1495662464.0000000,2438.5297852,319.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1255.1177979,705.9850464,1.7713560,5539375.0000000,8738.8583984,2496.5214844,175.4942627,1.0970812,0,1021,,,none,,,,,0.2500000,0.5000000,,7.808386164175546
10,1022,25.8565006,24.5697994,319.0000000,0.0000000,0.7500000,6.0000000,55.3071671,1.0000000,34.5903358,1.0342457,346.9691772,16.8924675,17.0130959,109.9048767,177.6127167,16839184.0000000,1577.1658936,324.7451782,96.0000000,3619.4809570,3706.3305664,11117.0000000,69.0000000,227.0000000,125.5626526,99.9608688,1.4024503,163043.7187500,1603.9331055,383.9806213,258.6979675,1.2556211,285.6588135,383.9826050,303691680.0000000,5664.2646484,471.2329407,647.0000000,23950.3046875,18067.4785156,74369.0000000,418.0000000,1358.0000000,390.3857422,271.0681763,1.4331977,1136540.8750000,4216.1660156,1083.9328613,208.4544525,1.2446306,448.4075623,699.7371826,1162588032.0000000,7069.8632812,455.7744751,1428.0000000,54364.8359375,42293.9257812,237592.0000000,833.0000000,2700.0000000,785.6566772,437.7823181,1.7244041,2797326.0000000,6278.6474609,1460.9832764,209.2085876,1.1214483,561.8707886,964.6469727,3162686464.0000000,11045.0029297,525.2961426,2119.0000000,81563.4140625,73375.3593750,423697.0000000,1210.0000000,3877.0000000,920.6955566,507.5144958,1.7847527,4081797.5000000,7303.1767578,1703.3619385,173.9451447,1.0398300,599.9486694,1037.7084961,4689615872.0000000,12022.1083984,435.2067566,2376.0000000,92627.0546875,93801.0937500,486202.0000000,1299.0000000,4157.0000000,1009.7874146,561.5518799,1.7915738,4431366.5000000,7631.6523438,1924.5871582,193.2016907,1.0458987,726.8522949,1143.7744141,6312633344.0000000,10292.1240234,319.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1278.0766602,724.4533691,1.7744454,5539375.0000000,8738.8583984,2528.0378418,175.5718384,1.0970812,0,1022,,,none,,,,,0.2500000,0.5000000,,55.241792007051608
