OID_,ID,Z_start,Z_end,Weight,Esc,Total,LConn,LLen,LFrac,LAC,LSin,LBear,HMf,HMb,MHDWp200,NQPDHWp200,BtHWp200,TPBtHWp200,TPDWp200,Lnk200,Len200,AngD200,WtWp200,Jnc200,Con200,MGLHWp200,MCFWp200,DivHWp200,HullA200,HullP200,HullR200,HullB200,HullSI200,MHDWp400,NQPDHWp400,BtHWp400,TPBtHWp400,TPDWp400,Lnk400,Len400,AngD400,WtWp400,Jnc400,Con400,MGLHWp400,MCFWp400,DivHWp400,HullA400,HullP400,HullR400,HullB400,HullSI400,MHDWp600,NQPDHWp600,BtHWp600,TPBtHWp600,TPDWp600,Lnk600,Len600,AngD600,WtWp600,Jnc600,Con600,MGLHWp600,MCFWp600,DivHWp600,HullA600,HullP600,HullR600,HullB600,HullSI600,MHDWp800,NQPDHWp800,BtHWp800,TPBtHWp800,TPDWp800,Lnk800,Len800,AngD800,WtWp800,Jnc800,Con800,MGLHWp800,MCFWp800,DivHWp800,HullA800,HullP800,HullR800,HullB800,HullSI800,MHDWp1000,NQPDHWp1000,BtHWp1000,TPBtHWp1000,TPDWp1000,Lnk1000,Len1000,AngD1000,WtWp1000,Jnc1000,Con1000,MGLHWp1000,MCFWp1000,DivHWp1000,HullA1000,HullP1000,HullR1000,HullB1000,HullSI1000,MHDWpn,NQPDHWpn,BtHWpn,TPBtHWpn,TPDWpn,Lnkn,Lenn,AngDn,WtWpn,Jncn,Conn,MGLHWpn,MCFWpn,DivHWpn,HullAn,HullPn,HullRn,HullBn,HullSIn,OBJECTID,Shape_Length_1,ID_1,Gate,Z_start_1,Z_end_1,Weight_1,Esc_1,Shade,Width,Total_1,Shape_Length,x,y
1,1,35.5419006,38.5419006,2.0000000,1.0000000,3.0000000,4.0000000,16.2134857,1.0000000,179.9990845,1.5259928,220.2150269,147.1594238,147.1594238,99.1532211,0.1181419,15.3333330,1.3809557,1.3545041,7.0000000,200.0083618,349.5310974,9.0000000,5.0000000,16.0000000,32.5334549,24.7308292,1.4709337,1395.3541260,273.7145996,77.7045593,295.5061340,4.2726922,258.0063171,7.5208592,12881.3330078,3.6440499,0.1456781,69.0000000,1175.7318115,1044.6414795,1897.0000000,43.0000000,139.0000000,47.0218239,36.7360420,1.2783952,10801.8359375,437.7278442,125.9527969,310.7743225,1.4115652,537.6591797,47.6921120,73707.3359375,2.6158509,0.4137022,334.0000000,7551.9355469,5983.1162109,24367.0000000,214.0000000,687.0000000,251.3186951,143.0139771,1.8495718,197767.8125000,1787.5977783,585.2108154,310.0256042,1.2858021,649.6815186,113.4921036,241426.3281250,2.2688997,0.4575241,710.0000000,23072.5957031,18910.7812500,70679.0000000,444.0000000,1433.0000000,486.2328491,341.2832031,1.6156558,919072.9375000,3617.4931641,1013.5933838,301.0821228,1.1330670,800.4159546,207.1622620,533996.3125000,2.5111587,0.7013928,1268.0000000,50564.6406250,38690.2539062,156892.0000000,770.0000000,2495.0000000,871.7675781,507.5978394,1.7467344,2514045.7500000,5905.9418945,1363.1473389,222.7617340,1.1040666,1183.0609131,566.6094360,3211657.2500000,5.2362895,2.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1578.9379883,821.1614990,1.9084308,5539375.0000000,8738.8583984,2332.1616211,195.7712097,1.0970812,1,,,none,,,,,2.0000000,1.0000000,,13.213484419238373,1.3019772,103.7935867
2,2,34.1039009,37.1039009,2.0000000,1.0000000,3.0000000,4.0000000,10.5917492,1.0000000,90.0000000,1.2975307,185.1752930,75.4438171,75.4438171,108.9021835,0.1959340,41.3333321,2.3176405,1.3606659,12.0000000,227.4156342,269.9990845,14.0000000,7.0000000,23.0000000,30.9302959,22.2029514,1.4815251,1690.8271484,276.6754761,112.3900833,106.0136719,3.6027346,283.2780151,6.9036732,6078.3334961,1.7074809,0.1463753,83.0000000,1457.5887451,1067.7304688,1911.0000000,53.0000000,171.0000000,53.2831116,26.2629375,2.1057928,22327.6640625,669.3406372,164.1224365,348.2195435,1.5967658,533.5029297,53.7244720,95512.3359375,3.1267686,0.4829989,356.0000000,8107.3447266,6084.5761719,27680.0000000,230.0000000,738.0000000,213.8925323,112.7037125,1.9927902,217193.6406250,1837.2547607,537.8684082,312.5939331,1.2367496,647.1317749,119.4685745,392909.3437500,3.7596192,0.4783894,763.0000000,24686.4472656,20683.3828125,74306.0000000,473.0000000,1528.0000000,466.3529053,303.6204529,1.7344230,941896.6250000,3789.8859863,951.3613892,303.2777405,1.2134984,789.1419678,207.9660492,814818.3125000,3.9713864,0.6892399,1333.0000000,53339.8906250,41035.9101562,155323.0000000,801.0000000,2591.0000000,709.5531616,472.3526001,1.6182768,2589194.5000000,5990.1972656,1343.6545410,221.5228271,1.1028278,1186.9149170,567.1031494,2921791.2500000,4.7636919,2.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1376.9812012,794.2500610,1.6966578,5539375.0000000,8738.8583984,2337.6237793,194.7611389,1.0970812,2,,,none,,,,,2.0000000,1.0000000,,7.591748656037336,1.3021126,103.7932358
3,4,24.3843002,19.3843002,2.0000000,1.0000000,3.0000000,2.0000000,13.8205805,1.0000000,90.0000000,1.3630887,8.5915346,77.8654327,77.8654327,126.6601334,0.1309007,17.3333340,1.5151515,1.5636364,7.0000000,86.5487289,270.0000000,10.0000000,6.0000000,18.0000000,19.0810623,11.7612438,1.6040729,103.0074158,50.8418274,31.5932274,213.6303253,1.9969350,180.4824371,0.1583736,31.3333340,1.8431373,2.0000000,12.0000000,287.8685303,363.4563599,17.0000000,6.0000000,18.0000000,30.2222538,16.5834160,1.7909148,562.0178833,191.0005951,60.1917267,208.9007568,5.1654649,180.4824371,0.1583736,31.3333340,1.8431373,2.0000000,12.0000000,287.8685303,363.4563599,17.0000000,6.0000000,18.0000000,30.2222538,16.5834160,1.7909148,562.0178833,191.0005951,60.1917267,208.9007568,5.1654649,180.4824371,0.1583736,31.3333340,1.8431373,2.0000000,12.0000000,287.8685303,363.4563599,17.0000000,6.0000000,18.0000000,30.2222538,16.5834160,1.7909148,562.0178833,191.0005951,60.1917267,208.9007568,5.1654649,180.4824371,0.1583736,31.3333340,1.8431373,2.0000000,12.0000000,287.8685303,363.4563599,17.0000000,6.0000000,18.0000000,30.2222538,16.5834160,1.7909148,562.0178833,191.0005951,60.1917267,208.9007568,5.1654649,180.4824371,0.1583736,31.3333340,1.8431373,2.0000000,12.0000000,287.8685303,363.4563599,17.0000000,6.0000000,18.0000000,30.2222538,16.5834160,1.7909148,562.0178833,191.0005951,60.1917267,208.9007568,5.1654649,4,,,none,,,,,2.0000000,1.0000000,,8.820580471123112,1.3013697,103.7931442
4,5,14.3843002,19.3843002,2.0000000,1.0000000,3.0000000,4.0000000,16.8067017,1.0000000,90.0000000,1.3107926,31.5080566,80.1050262,80.1050262,109.2112045,0.3325479,43.3333321,3.5867243,2.8017316,10.0000000,193.7519531,363.4563599,15.0000000,6.0000000,18.0000000,21.6124439,14.2014818,1.5622791,562.0178833,191.0005951,55.3317299,208.0236816,5.1654649,122.6749878,0.3414904,81.3333359,4.7843137,2.0000000,12.0000000,287.8685303,363.4563599,17.0000000,6.0000000,18.0000000,25.3367767,15.6504660,1.6293428,562.0178833,191.0005951,55.3317299,208.0236816,5.1654649,122.6749878,0.3414904,81.3333359,4.7843137,2.0000000,12.0000000,287.8685303,363.4563599,17.0000000,6.0000000,18.0000000,25.3367767,15.6504660,1.6293428,562.0178833,191.0005951,55.3317299,208.0236816,5.1654649,122.6749878,0.3414904,81.3333359,4.7843137,2.0000000,12.0000000,287.8685303,363.4563599,17.0000000,6.0000000,18.0000000,25.3367767,15.6504660,1.6293428,562.0178833,191.0005951,55.3317299,208.0236816,5.1654649,122.6749878,0.3414904,81.3333359,4.7843137,2.0000000,12.0000000,287.8685303,363.4563599,17.0000000,6.0000000,18.0000000,25.3367767,15.6504660,1.6293428,562.0178833,191.0005951,55.3317299,208.0236816,5.1654649,122.6749878,0.3414904,81.3333359,4.7843137,2.0000000,12.0000000,287.8685303,363.4563599,17.0000000,6.0000000,18.0000000,25.3367767,15.6504660,1.6293428,562.0178833,191.0005951,55.3317299,208.0236816,5.1654649,5,,,none,,,,,2.0000000,1.0000000,,11.806701154365763,1.3013636,103.7931213
5,6,31.1196995,37.3522987,3.0000000,0.0000000,2.5000000,3.0000000,45.4467049,1.0000000,195.5732422,1.3032908,8.0122766,153.5226593,151.5749664,128.5834503,0.0801608,15.0000000,1.2875826,1.2894511,5.0000000,130.7878418,203.6687164,7.0000000,5.0000000,16.0000000,27.8149376,15.4144068,1.7817081,459.4601135,167.1582489,68.9320984,350.0473938,4.8394718,367.9868164,17.6086292,19978.5000000,1.7435664,0.4889961,120.0000000,2936.2004395,2481.4477539,6440.0000000,86.0000000,271.0000000,151.8302917,102.1995926,1.4981301,68091.6406250,1125.1594238,309.6382446,309.9053650,1.4795324,499.5449829,88.6504745,130050.0000000,2.0115988,1.0234755,475.0000000,12778.8955078,10030.7519531,43193.0000000,302.0000000,976.0000000,286.4743652,209.8474121,1.4332765,506698.1562500,2742.5183105,799.7472534,303.2865601,1.1812447,621.0354004,171.8081818,304836.0000000,1.9811337,0.9623852,932.0000000,35474.8164062,27368.8808594,101801.0000000,564.0000000,1823.0000000,622.5574341,393.1875610,1.5660290,1798086.6250000,5188.5336914,1353.5020752,218.8096619,1.1914308,802.3668823,367.8842163,836937.0000000,2.5453899,2.0908229,1633.0000000,64074.0468750,51642.2304688,278981.0000000,942.0000000,3041.0000000,1027.5687256,559.4590454,1.7868701,3512412.2500000,6957.0268555,1635.0098877,220.9497681,1.0965590,1064.1640625,636.9387207,1840032.0000000,2.9999902,3.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1519.9979248,813.8363647,1.8513306,5539375.0000000,8738.8583984,2413.4123535,194.0067139,1.0970812,6,,,none,,,,,1.0000000,1.5000000,,41.184194205024099,1.3028791,103.7931213
6,7,23.8971004,19.3843002,3.0000000,1.0000000,4.5000000,2.0000000,13.0866423,1.0000000,93.4563675,1.4151089,217.7501068,119.8608856,119.8608856,134.3477631,0.1083752,21.0000000,1.9333333,2.1999998,5.0000000,66.7546234,273.4563599,9.0000000,4.0000000,12.0000000,15.0199347,9.9526892,1.5029140,9.5811796,43.7436943,31.6589947,31.0354958,15.8928604,198.2190094,0.1383528,45.0000000,2.6470587,3.0000000,12.0000000,287.8685303,363.4563599,17.0000000,6.0000000,18.0000000,27.1732521,15.0780115,1.7725987,562.0178833,191.0005951,63.8491478,47.5415649,5.1654649,198.2190094,0.1383528,45.0000000,2.6470587,3.0000000,12.0000000,287.8685303,363.4563599,17.0000000,6.0000000,18.0000000,27.1732521,15.0780115,1.7725987,562.0178833,191.0005951,63.8491478,47.5415649,5.1654649,198.2190094,0.1383528,45.0000000,2.6470587,3.0000000,12.0000000,287.8685303,363.4563599,17.0000000,6.0000000,18.0000000,27.1732521,15.0780115,1.7725987,562.0178833,191.0005951,63.8491478,47.5415649,5.1654649,198.2190094,0.1383528,45.0000000,2.6470587,3.0000000,12.0000000,287.8685303,363.4563599,17.0000000,6.0000000,18.0000000,27.1732521,15.0780115,1.7725987,562.0178833,191.0005951,63.8491478,47.5415649,5.1654649,198.2190094,0.1383528,45.0000000,2.6470587,3.0000000,12.0000000,287.8685303,363.4563599,17.0000000,6.0000000,18.0000000,27.1732521,15.0780115,1.7725987,562.0178833,191.0005951,63.8491478,47.5415649,5.1654649,7,,,none,,,,,3.0000000,1.5000000,,8.071952490884714,1.3012695,103.7930679
7,8,14.3843002,19.3843002,2.0000000,1.0000000,3.0000000,4.0000000,15.0272894,1.0000000,90.0000000,1.3411529,211.5084229,78.7704697,78.7704697,110.1548233,0.3297997,39.3333321,3.2897546,2.8017316,10.0000000,193.7519531,363.4563599,15.0000000,6.0000000,18.0000000,19.8790894,13.1980267,1.5487881,562.0178833,191.0005951,59.9042740,47.9674911,5.1654649,124.3011856,0.3384804,61.3333321,3.6078432,2.0000000,12.0000000,287.8685303,363.4563599,17.0000000,6.0000000,18.0000000,23.4933319,14.6762667,1.6210986,562.0178833,191.0005951,59.9042740,47.9674911,5.1654649,124.3011856,0.3384804,61.3333321,3.6078432,2.0000000,12.0000000,287.8685303,363.4563599,17.0000000,6.0000000,18.0000000,23.4933319,14.6762667,1.6210986,562.0178833,191.0005951,59.9042740,47.9674911,5.1654649,124.3011856,0.3384804,61.3333321,3.6078432,2.0000000,12.0000000,287.8685303,363.4563599,17.0000000,6.0000000,18.0000000,23.4933319,14.6762667,1.6210986,562.0178833,191.0005951,59.9042740,47.9674911,5.1654649,124.3011856,0.3384804,61.3333321,3.6078432,2.0000000,12.0000000,287.8685303,363.4563599,17.0000000,6.0000000,18.0000000,23.4933319,14.6762667,1.6210986,562.0178833,191.0005951,59.9042740,47.9674911,5.1654649,124.3011856,0.3384804,61.3333321,3.6078432,2.0000000,12.0000000,287.8685303,363.4563599,17.0000000,6.0000000,18.0000000,23.4933319,14.6762667,1.6210986,562.0178833,191.0005951,59.9042740,47.9674911,5.1654649,8,,,none,,,,,2.0000000,1.0000000,,10.027289338433288,1.3012793,103.7930679
8,11,38.9539986,27.8372993,3.0000000,0.0000000,4.5000000,2.0000000,38.9540634,0.9999999,161.9485321,1.1648847,301.1351318,226.3162994,232.5694427,122.8011017,0.1183592,33.0000000,2.5384614,3.0000000,7.0000000,426.4115295,635.3683472,13.0000000,3.0000000,10.0000000,84.9997025,66.7662964,1.4116880,10950.7353516,577.6729736,175.8974762,355.0959778,2.4249957,122.8011017,0.1183592,33.0000000,1.9243528,1.7717825,7.0000000,426.4115295,635.3683472,13.0000000,3.0000000,10.0000000,84.9997025,66.7662964,1.4116880,10950.7353516,577.6729736,175.8974762,355.0959778,2.4249957,511.8082581,3.2292585,4812.0000000,1.8890097,0.7854915,34.0000000,935.6224976,1091.7407227,1606.0000000,20.0000000,63.0000000,229.8739166,132.4820557,1.7654216,25523.4902344,764.9856567,262.3756104,314.5769043,1.8245537,709.7178345,11.9916649,24679.5000000,1.5443333,0.0901246,141.0000000,4684.1113281,4181.8872070,8231.0000000,89.0000000,287.0000000,347.3183594,112.9543457,4.2834888,223701.9687500,1870.2501221,606.2592163,321.4400330,1.2442845,900.6547852,64.3029709,167973.0000000,1.6743902,0.3489914,584.0000000,22926.5214844,16251.1699219,56865.0000000,384.0000000,1248.0000000,669.4437866,321.3746033,3.0843151,1151445.7500000,4143.0156250,964.6982422,301.2062378,1.1862597,1346.3415527,477.8502197,1840032.0000000,2.9999902,3.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1610.4770508,781.7040405,2.2562292,5539375.0000000,8738.8583984,2416.3300781,192.7450256,1.0970812,11,,,none,,,,,3.0000000,1.5000000,,34.360164726347854,1.3029772,103.7926407
9,13,23.6963005,24.3477993,2.0000000,0.0000000,1.2500000,4.0000000,13.1612492,0.9999999,0.5049878,1.0000069,109.9014053,4.3724957,4.2706990,143.4094696,160.6585846,6371890.5000000,523.1405640,3.4735386,237.0000000,4669.7446289,3131.3950195,21164.0000000,173.0000000,553.0000000,99.6639557,74.0698700,1.3298368,125228.4531250,1357.2327881,302.4454041,325.1814575,1.1705657,238.1404266,292.2412415,68755184.0000000,1376.7749023,2.4557283,594.0000000,18755.2578125,15215.7558594,58035.0000000,376.0000000,1216.0000000,299.2489624,208.3349762,1.4648440,740481.6250000,3286.4836426,867.6867065,308.6086426,1.1607503,386.7757263,433.6292114,117910160.0000000,988.0406494,1.6574188,1143.0000000,44571.3007812,35957.6406250,128902.0000000,677.0000000,2194.0000000,588.6677856,382.6761780,1.5371312,2400361.0000000,5817.2949219,1303.1850586,219.2913666,1.1219041,565.3456421,690.8066406,129508616.0000000,465.9198914,2.3053315,1810.0000000,72779.6718750,59920.5781250,306541.0000000,1045.0000000,3364.0000000,946.8947144,514.7873535,1.7896903,3719612.5000000,7045.5512695,1540.3599854,221.3495178,1.0619948,677.8426514,881.3795166,133630248.0000000,301.5464783,2.6419387,2326.0000000,89850.5625000,88505.8203125,474289.0000000,1287.0000000,4116.0000000,1154.4394531,588.4533081,1.9234750,4312670.5000000,7501.3989258,1660.4919434,188.4232178,1.0383132,820.1354370,989.2933350,134001688.0000000,218.4765015,2.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1479.5101318,743.7871094,1.9501430,5539375.0000000,8738.8583984,2324.3928223,193.1864471,1.0970812,13,,,none,,,,,0.5000000,0.7500000,,13.145023588565497,1.3021239,103.7926407
10,14,34.4672012,27.7527008,3.0000000,1.0000000,4.5000000,2.0000000,28.3571548,1.0000000,195.6743774,1.1123672,268.6863403,252.0354614,252.0354614,129.2155151,0.1157688,33.0000000,2.5384614,3.0000000,7.0000000,426.4115295,635.3683472,13.0000000,3.0000000,10.0000000,94.0957718,76.8049774,1.3671436,10950.7353516,577.6729736,211.0949554,355.9988708,2.4249957,129.2155151,0.1157688,33.0000000,1.9243528,1.7717825,7.0000000,426.4115295,635.3683472,13.0000000,3.0000000,10.0000000,94.0957718,76.8049774,1.3671436,10950.7353516,577.6729736,211.0949554,355.9988708,2.4249957,531.1327515,3.1123300,4812.0000000,1.8890097,0.7854915,34.0000000,935.6224976,1091.7407227,1606.0000000,19.0000000,60.0000000,265.8399353,167.1095276,1.6085844,25523.4902344,764.9856567,288.4172058,319.7962341,1.8245537,710.5443115,9.7835608,20134.5000000,1.5377678,0.0773231,118.0000000,3859.5446777,3559.5966797,6713.0000000,78.0000000,252.0000000,363.4283752,131.0345764,3.1724825,202482.1250000,1807.1811523,607.3165283,323.7553101,1.2835324,890.2507324,48.7455978,127066.5000000,1.6349473,0.2701765,508.0000000,20278.5800781,14339.3916016,42591.0000000,337.0000000,1092.0000000,603.0608521,320.4530640,2.9099736,1079119.7500000,4075.1313477,967.7758179,303.4895630,1.2246267,1365.7711182,470.3769226,1840032.0000000,2.9999902,3.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1646.6617432,766.5820923,2.3931139,5539375.0000000,8738.8583984,2380.7155762,192.9344330,1.0970812,14,,,none,,,,,3.0000000,1.5000000,,24.888314275287748,1.3026403,103.7926559
