OID_,ID,Z_start,Z_end,Weight,Esc,Total,LConn,LLen,LFrac,LAC,LSin,LBear,HMf,HMb,MHDWp200,NQPDHWp200,BtHWp200,TPBtHWp200,TPDWp200,Lnk200,Len200,AngD200,WtWp200,Jnc200,Con200,MGLHWp200,MCFWp200,DivHWp200,HullA200,HullP200,HullR200,HullB200,HullSI200,MHDWp400,NQPDHWp400,BtHWp400,TPBtHWp400,TPDWp400,Lnk400,Len400,AngD400,WtWp400,Jnc400,Con400,MGLHWp400,MCFWp400,DivHWp400,HullA400,HullP400,HullR400,HullB400,HullSI400,MHDWp600,NQPDHWp600,BtHWp600,TPBtHWp600,TPDWp600,Lnk600,Len600,AngD600,WtWp600,Jnc600,Con600,MGLHWp600,MCFWp600,DivHWp600,HullA600,HullP600,HullR600,HullB600,HullSI600,MHDWp800,NQPDHWp800,BtHWp800,TPBtHWp800,TPDWp800,Lnk800,Len800,AngD800,WtWp800,Jnc800,Con800,MGLHWp800,MCFWp800,DivHWp800,HullA800,HullP800,HullR800,HullB800,HullSI800,MHDWp1000,NQPDHWp1000,BtHWp1000,TPBtHWp1000,TPDWp1000,Lnk1000,Len1000,AngD1000,WtWp1000,Jnc1000,Con1000,MGLHWp1000,MCFWp1000,DivHWp1000,HullA1000,HullP1000,HullR1000,HullB1000,HullSI1000,MHDWpn,NQPDHWpn,BtHWpn,TPBtHWpn,TPDWpn,Lnkn,Lenn,AngDn,WtWpn,Jncn,Conn,MGLHWpn,MCFWpn,DivHWpn,HullAn,HullPn,HullRn,HullBn,HullSIn,OBJECTID,Shape_Length_1,ID_1,Gate,Z_start_1,Z_end_1,Weight_1,Esc_1,Shade,Width,Total_1,Shape_Length
1,52,23.0825005,18.6427002,4.0000000,1.0000000,6.2500000,2.0000000,57.1993523,1.0000000,196.7967224,1.5115072,340.9071960,396.8688660,396.8688660,132.2896118,0.0302367,5.3333335,1.3333334,4.0000000,1.0000000,57.1993523,196.7967224,4.0000000,0.0000000,0.0000000,19.0664501,12.6141977,1.5115072,29.4599781,89.6162262,34.1393013,340.9071960,21.6935692,381.2652588,0.2334299,325.3333435,1.9707489,0.1954660,2.0000000,66.4772720,196.7967224,84.0000000,2.0000000,7.0000000,32.5637703,10.9862041,2.9749029,232.4560699,96.4544983,34.1393013,340.9071960,3.1848886,466.7919617,4.9175038,9081.3330078,2.0198541,0.0490936,144.0000000,4223.1518555,2401.8171387,2273.0000000,96.0000000,311.0000000,105.9917450,66.3207855,2.3557997,158931.2031250,1634.1275635,368.6432190,140.0817871,1.3370662,741.0440674,88.5934753,261107.3281250,2.3348787,0.6700860,712.0000000,28396.4101562,20463.5097656,64943.0000000,468.0000000,1516.0000000,584.3158569,225.8703766,2.6877458,1474949.3750000,4567.3715820,916.4033203,132.6407318,1.1255006,862.5252075,293.4140930,998647.3125000,3.1461716,2.2924285,1587.0000000,58974.0976562,56056.1054688,249496.0000000,957.0000000,3063.0000000,693.7329712,278.2845764,2.6433036,3043394.7500000,6519.2705078,1214.0041504,119.1879120,1.1112963,1128.5242920,579.3962402,2453373.2500000,3.9999826,4.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1163.5428467,492.1647644,2.5165694,5539375.0000000,8738.8583984,1990.3714600,170.1854553,1.0970812,52,,,none,,,,,4.0000000,2.2500000,,52.177883709439143
2,80,23.8691006,23.8691006,1812.0000000,0.0000000,3.0000000,2.0000000,7.3217726,1.0000000,87.2309952,1.3168790,221.0006714,70.9145737,70.9145737,80.3127213,457.8837585,32204676.0000000,1697.6374512,1813.9157715,52.0000000,919.0120239,1324.3245850,18981.0000000,33.0000000,106.0000000,35.2835541,27.2729416,1.4007235,17750.2792969,610.0997925,165.0677643,226.3564453,1.6687324,286.8588257,733.8136597,193432816.0000000,1591.6054688,1411.7613525,316.0000000,9296.4970703,8286.4667969,107959.0000000,203.0000000,660.0000000,161.2845917,69.6147461,3.2660186,509773.8437500,2882.0419922,621.4315186,183.5721741,1.2966214,427.9799805,1108.0225830,535753120.0000000,1970.7202148,2144.2131348,1212.0000000,41660.8281250,34190.3476562,296341.0000000,732.0000000,2355.0000000,270.6355896,122.1194916,3.5392795,2218337.0000000,5592.7021484,1076.5697021,129.0434723,1.1220340,479.6798706,1231.9724121,683566144.0000000,1960.7030029,2120.9736328,2041.0000000,74724.7187500,69049.0781250,378452.0000000,1163.0000000,3718.0000000,421.9779663,200.2953644,3.2227614,3535578.2500000,6875.9428711,1377.3311768,124.1466446,1.0641289,546.2029419,1309.1264648,809923200.0000000,1938.3955078,2074.5588379,2301.0000000,90057.0078125,91304.1015625,448187.0000000,1272.0000000,4069.0000000,593.5214233,280.7943726,3.0601096,4420047.0000000,7626.8164062,1538.8624268,95.7817993,1.0472487,718.8200684,1449.8054199,1109194112.0000000,1808.4312744,1812.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,936.7822266,408.2711792,2.9021966,5539375.0000000,8738.8583984,2123.8486328,166.1726990,1.0970812,80,,,none,,,,,2.0000000,1.0000000,,7.321772641327795
3,81,23.8691006,28.8691006,1320.0000000,1.0000000,3.0000000,4.0000000,7.4895220,0.9999999,86.2435150,1.3048499,251.7906799,70.2997818,70.2997818,107.9060974,319.1830444,24735480.0000000,1567.8298340,1165.7050781,25.0000000,316.3557129,970.1626587,15993.0000000,18.0000000,58.0000000,21.2369194,12.9066572,2.3097153,3291.0102539,251.7272797,73.1456223,169.6859741,1.5322212,293.9671021,642.3901367,220294800.0000000,1957.5136719,969.4285889,209.0000000,3552.6418457,4291.1923828,117010.0000000,140.0000000,452.0000000,109.9611282,69.9368439,1.7378004,103389.8437500,1292.1362305,301.1467285,325.6169434,1.2850761,393.4204712,946.1960449,630969216.0000000,2450.2995605,1255.8874512,841.0000000,24960.4628906,21999.0566406,259508.0000000,507.0000000,1641.0000000,163.6866302,89.5511932,2.0550735,1421724.6250000,4679.2436523,892.9390259,124.3082733,1.2255358,479.3309021,1098.2866211,905139840.0000000,2655.4377441,1441.7032471,1769.0000000,61569.7617188,55765.7421875,364144.0000000,1025.0000000,3285.0000000,330.5778503,178.0593719,2.4148986,3224115.7500000,6749.7949219,1363.1055908,123.2763367,1.1245031,530.3084717,1150.5086670,1049208576.0000000,2580.7624512,1332.4938965,2221.0000000,83984.4531250,83600.9531250,411935.0000000,1244.0000000,3977.0000000,454.7194824,244.0602570,2.3554893,4119911.5000000,7429.0649414,1499.5083008,121.3817520,1.0660328,762.7322388,1315.4571533,1611321344.0000000,2627.1000977,1320.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,867.6876221,404.4894104,2.3462496,5539375.0000000,8738.8583984,2099.3076172,166.0171356,1.0970812,81,,,none,,,,,2.0000000,1.0000000,,2.960570733822118
4,82,23.8691006,28.8691006,1320.0000000,1.0000000,3.0000000,4.0000000,7.4150920,1.0000000,90.0000000,1.3353988,341.2852173,73.0613174,73.0613174,108.0512543,422.7977295,22343640.0000000,1374.5928955,1165.7050781,25.0000000,316.3557129,970.1626587,15993.0000000,18.0000000,58.0000000,21.3062096,13.0884418,2.2671587,3291.0102539,251.7272797,70.8643570,167.7586670,1.5322212,294.1795044,749.3219604,156978368.0000000,1170.2496338,976.6051636,210.0000000,3561.6516113,4322.5678711,117989.0000000,141.0000000,455.0000000,110.5708084,68.6601181,1.7528840,103389.8437500,1292.1362305,302.5404968,326.1919861,1.2850761,392.8453979,1051.3444824,343900928.0000000,1293.5982666,1256.5856934,842.0000000,24961.9394531,21999.0566406,259636.0000000,507.0000000,1641.0000000,163.8312378,87.9220123,2.0711668,1421724.6250000,4679.2436523,892.7520752,124.0950546,1.2255358,478.8091431,1203.2559814,481329408.0000000,1384.5699463,1441.7032471,1769.0000000,61569.7617188,55765.7421875,364144.0000000,1025.0000000,3285.0000000,330.7023010,177.2805481,2.4364657,3224115.7500000,6749.7949219,1362.9765625,123.1365891,1.1245031,529.8491211,1255.4770508,544987712.0000000,1329.3519287,1332.4938965,2221.0000000,83984.4531250,83600.9531250,411935.0000000,1244.0000000,3977.0000000,454.8442383,243.4372864,2.3742893,4119911.5000000,7429.0649414,1499.4887695,121.2546387,1.0660328,762.4318237,1420.4221191,810849600.0000000,1322.0101318,1320.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,867.8131104,403.6801758,2.3601289,5539375.0000000,8738.8583984,2096.9555664,165.9528961,1.0970812,82,,,none,,,,,2.0000000,1.0000000,,2.415091875782398
5,83,23.8691006,23.8691006,1812.0000000,0.0000000,3.0000000,2.0000000,6.9273028,1.0000000,105.6066437,1.5595152,193.4793701,84.4004593,84.4004593,97.8642654,355.3927002,25123380.0000000,1582.0722656,1642.5839844,24.0000000,526.1229248,925.2990112,15073.0000000,16.0000000,51.0000000,37.0747070,26.9952126,1.3471005,12581.5927734,446.8614502,93.8944778,240.8454285,1.2629911,292.3811646,588.0394897,161176496.0000000,1461.5820312,1159.7214355,227.0000000,5954.1040039,5408.7207031,90157.0000000,151.0000000,495.0000000,158.7181549,72.0407562,3.3677638,292711.9375000,2330.3635254,618.9721680,184.8621674,1.4763762,430.4004517,974.6193848,503607360.0000000,1858.1112061,1919.9022217,1018.0000000,34469.8789062,28328.2343750,279198.0000000,618.0000000,1997.0000000,258.0238953,107.0319138,3.8100703,1962824.0000000,5398.9653320,1085.8835449,129.2237854,1.1817615,492.2584229,1112.5715332,672261056.0000000,1927.2852783,2054.3320312,1936.0000000,69285.3046875,63771.6328125,372212.0000000,1121.0000000,3584.0000000,407.4082947,192.6672058,3.3875742,3448932.2500000,6838.2099609,1386.3212891,124.3201981,1.0789227,549.0112305,1177.4899902,778758656.0000000,1877.8532715,1953.8642578,2265.0000000,86251.5312500,86847.1640625,430986.0000000,1257.0000000,4017.0000000,550.3679199,267.0093384,3.2031627,4218611.0000000,7520.2153320,1544.7939453,96.0771942,1.0667956,743.2077026,1331.0906982,1109194112.0000000,1808.4312744,1812.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,915.1715088,408.9715576,2.9600382,5539375.0000000,8738.8583984,2133.3354492,166.0949097,1.0970812,83,,,none,,,,,2.0000000,1.0000000,,6.927302974513480
6,87,23.8691006,23.8691006,1812.0000000,0.0000000,3.0000000,0.0000000,5.0779562,1.0000000,0.1047022,1.0000005,31.2631111,3.8869936,3.8869936,1.2956645,1398.5101318,1094448.0000000,604.0000000,1812.0000000,1.0000000,5.0779562,0.1047022,1812.0000000,0.0000000,0.0000000,1.6926520,1.6926512,1.0000005,0.0058427,10.1559095,24.0037575,211.3107758,1404.7882080,1.2956645,1398.5101318,1094448.0000000,604.0000000,1812.0000000,1.0000000,5.0779562,0.1047022,1812.0000000,0.0000000,0.0000000,1.6926520,1.6926512,1.0000005,0.0058427,10.1559095,24.0037575,211.3107758,1404.7882080,1.2956645,1398.5101318,1094448.0000000,604.0000000,1812.0000000,1.0000000,5.0779562,0.1047022,1812.0000000,0.0000000,0.0000000,1.6926520,1.6926512,1.0000005,0.0058427,10.1559095,24.0037575,211.3107758,1404.7882080,1.2956645,1398.5101318,1094448.0000000,604.0000000,1812.0000000,1.0000000,5.0779562,0.1047022,1812.0000000,0.0000000,0.0000000,1.6926520,1.6926512,1.0000005,0.0058427,10.1559095,24.0037575,211.3107758,1404.7882080,1.2956645,1398.5101318,1094448.0000000,604.0000000,1812.0000000,1.0000000,5.0779562,0.1047022,1812.0000000,0.0000000,0.0000000,1.6926520,1.6926512,1.0000005,0.0058427,10.1559095,24.0037575,211.3107758,1404.7882080,1.2956645,1398.5101318,1094448.0000000,604.0000000,1812.0000000,1.0000000,5.0779562,0.1047022,1812.0000000,0.0000000,0.0000000,1.6926520,1.6926512,1.0000005,0.0058427,10.1559095,24.0037575,211.3107758,1404.7882080,87,,,no_41,,,,,2.0000000,1.0000000,,5.077955869364494
7,88,26.2066994,29.4419994,2.0000000,0.0000000,0.5000000,5.0000000,133.8148956,1.0000000,27.1670914,1.0061407,112.4086761,20.6125984,20.4103928,169.7016296,88.1976929,101069.3359375,10.9356794,3.9311934,260.0000000,10083.9931641,5735.1582031,14665.0000000,177.0000000,584.0000000,268.6184387,142.2707367,2.0370927,557174.5625000,2861.1452637,603.0484619,134.4987030,1.1691726,291.0921936,547.8899536,112108688.0000000,1826.6752930,3.6389463,994.0000000,41155.7070312,33193.1132812,148848.0000000,610.0000000,1967.0000000,345.5892944,140.3456573,3.1596632,2653704.7500000,6163.9365234,1368.0985107,117.9001770,1.1393412,405.7292786,1008.7050171,981643840.0000000,4541.7651367,4.1214814,2061.0000000,74210.6406250,73534.3359375,369348.0000000,1180.0000000,3767.0000000,494.9520264,226.7691650,3.5114424,3634178.0000000,6985.6484375,1443.2441406,92.7190399,1.0685563,454.6354675,1112.6981201,3334326272.0000000,10808.6201172,3.4430475,2287.0000000,88454.9843750,88922.0937500,441907.0000000,1267.0000000,4052.0000000,621.7457275,304.9574585,3.2860091,4223043.0000000,7530.3876953,1603.1560059,88.9062500,1.0685610,544.5559082,1234.1938477,5017043968.0000000,12444.3994141,3.5040402,2518.0000000,96075.3828125,97171.6562500,551653.0000000,1370.0000000,4416.0000000,784.6404419,380.2751465,3.0535662,4602535.5000000,7805.2758789,1608.3005371,79.0602798,1.0533422,600.3535767,1291.0310059,5961561088.0000000,9719.7363281,2.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,858.9238281,408.3974304,2.9786646,5539375.0000000,8738.8583984,2013.7518311,163.3605652,1.0970812,88,,,no_28,,,,,0.0000000,0.5000000,,132.958849323031558
8,94,23.8691006,23.8691006,1812.0000000,0.0000000,3.0000000,2.0000000,6.1259909,0.9999999,85.9747696,1.3199624,85.3715897,69.0755692,69.0755692,34.0299721,119.0728607,4377792.0000000,1208.0000000,1812.0000000,3.0000000,10.2856998,85.9747696,3624.0000000,1.0000000,3.0000000,3.0724597,2.4342616,1.2780442,12.9919252,15.1871233,24.1986656,83.0364456,1.4127576,34.0299721,119.0728607,4377792.0000000,1208.0000000,1812.0000000,3.0000000,10.2856998,85.9747696,3624.0000000,1.0000000,3.0000000,3.0724597,2.4342616,1.2780442,12.9919252,15.1871233,24.1986656,83.0364456,1.4127576,34.0299721,119.0728607,4377792.0000000,1208.0000000,1812.0000000,3.0000000,10.2856998,85.9747696,3624.0000000,1.0000000,3.0000000,3.0724597,2.4342616,1.2780442,12.9919252,15.1871233,24.1986656,83.0364456,1.4127576,34.0299721,119.0728607,4377792.0000000,1208.0000000,1812.0000000,3.0000000,10.2856998,85.9747696,3624.0000000,1.0000000,3.0000000,3.0724597,2.4342616,1.2780442,12.9919252,15.1871233,24.1986656,83.0364456,1.4127576,34.0299721,119.0728607,4377792.0000000,1208.0000000,1812.0000000,3.0000000,10.2856998,85.9747696,3624.0000000,1.0000000,3.0000000,3.0724597,2.4342616,1.2780442,12.9919252,15.1871233,24.1986656,83.0364456,1.4127576,34.0299721,119.0728607,4377792.0000000,1208.0000000,1812.0000000,3.0000000,10.2856998,85.9747696,3624.0000000,1.0000000,3.0000000,3.0724597,2.4342616,1.2780442,12.9919252,15.1871233,24.1986656,83.0364456,1.4127576,94,,,no_41,,,,,2.0000000,1.0000000,,6.125991034067404
9,95,18.8691006,18.8691006,1958.0000000,0.0000000,3.0000000,4.0000000,12.4366245,0.9999999,2.0156314,1.0001481,323.2806702,10.8391924,10.8391924,114.5916061,1290.3586426,179547952.0000000,4198.1914062,1352.3796387,40.0000000,248.9084320,308.6354065,40139.0000000,25.0000000,80.0000000,38.9356537,29.9433651,1.2598085,2064.0017090,186.3039398,65.5685806,304.4090271,1.3382096,252.6426392,1620.0755615,713494528.0000000,4749.1005859,1443.7666016,191.0000000,1702.8813477,3498.8627930,137888.0000000,120.0000000,382.0000000,79.3079910,49.0409546,1.6610711,11367.1923828,446.0040588,162.6256409,3.7987015,1.3925620,350.3019104,1831.1375732,1330195072.0000000,5329.7280273,1706.0156250,535.0000000,7477.1918945,13237.8984375,238428.0000000,298.0000000,946.0000000,118.9707413,57.2334175,2.3733916,113139.5234375,1352.6486816,346.0708618,339.2460327,1.2869030,413.0716858,1909.7873535,1680137600.0000000,5364.3334961,1677.0848389,1015.0000000,26706.0019531,26185.5605469,292405.0000000,576.0000000,1859.0000000,182.7656708,72.7149048,2.6377375,1419545.3750000,4655.0361328,897.9572144,309.3323975,1.2147502,512.0679932,1983.5227051,2034614912.0000000,5331.7226562,1681.1116943,1773.0000000,61910.9804688,58122.1171875,361068.0000000,1032.0000000,3308.0000000,363.2019043,177.7537842,2.4812586,3256166.2500000,6753.7451172,1363.5659180,119.5345840,1.1147382,864.8125000,2171.2055664,3584903424.0000000,5844.8305664,1958.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,937.8018188,397.4653625,2.4857745,5539375.0000000,8738.8583984,2038.1376953,164.2235565,1.0970812,95,,,none,,,,,2.0000000,1.0000000,,12.436625114863297
10,96,28.9253006,31.9253006,2.0000000,1.0000000,3.0000000,4.0000000,8.1217804,1.0000000,90.0000000,1.3682916,111.6246262,73.5913391,73.5913391,128.0397491,0.6653422,335.3333435,6.1183329,2.1760302,49.0000000,962.6018066,1670.2485352,51.0000000,38.0000000,120.0000000,51.5295296,33.4720345,1.5662925,7573.1108398,366.2617188,125.2608643,293.7723694,1.4096097,240.2690735,21.6788902,202221.3281250,34.8970490,0.9242339,222.0000000,8443.5400391,9260.4443359,5059.0000000,141.0000000,456.0000000,230.6447449,83.6592331,2.9013820,458946.9687500,2748.2624512,590.7189331,308.6346436,1.3096162,509.4578552,187.3506622,1271728.3750000,47.3448830,0.7071821,857.0000000,35122.6718750,29098.9765625,91381.0000000,538.0000000,1728.0000000,509.8114624,193.4934998,2.6994748,2169167.5000000,5568.5234375,1110.2384033,153.0738983,1.1375675,659.5470581,522.3947144,10630891.0000000,59.1367836,2.0345440,1866.0000000,70257.9765625,70676.2031250,330290.0000000,1101.0000000,3515.0000000,678.6917725,293.8338318,2.7221723,3495247.7500000,6983.8828125,1403.6682129,16.7594051,1.1104680,706.7080688,629.6382446,30777962.0000000,81.6447525,2.1297390,2262.0000000,88945.5312500,87836.3828125,423537.0000000,1267.0000000,4055.0000000,762.4484253,340.2861023,2.6837018,4394212.0000000,7704.0107422,1590.6851807,86.0525665,1.0748377,842.7426758,796.7414551,55196508.0000000,89.9924469,2.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1007.7103882,444.9625549,2.5795028,5539375.0000000,8738.8583984,1933.5684814,163.1413269,1.0970812,96,,,none,,,,,2.0000000,1.0000000,,5.121780348729875
