OID_,Shape_Leng,ID,Z_start,Z_end,Weight,Esc,Total,LConn,LLen,LFrac,LAC,LSin,LBear,HMf,HMb,MHDWp200,NQPDHWp200,BtHWp200,TPBtHWp200,TPDWp200,Lnk200,Len200,AngD200,WtWp200,Jnc200,Con200,MGLHWp200,MCFWp200,DivHWp200,HullA200,HullP200,HullR200,HullB200,HullSI200,MHDWp400,NQPDHWp400,BtHWp400,TPBtHWp400,TPDWp400,Lnk400,Len400,AngD400,WtWp400,Jnc400,Con400,MGLHWp400,MCFWp400,DivHWp400,HullA400,HullP400,HullR400,HullB400,HullSI400,MHDWp600,NQPDHWp600,BtHWp600,TPBtHWp600,TPDWp600,Lnk600,Len600,AngD600,WtWp600,Jnc600,Con600,MGLHWp600,MCFWp600,DivHWp600,HullA600,HullP600,HullR600,HullB600,HullSI600,MHDWp800,NQPDHWp800,BtHWp800,TPBtHWp800,TPDWp800,Lnk800,Len800,AngD800,WtWp800,Jnc800,Con800,MGLHWp800,MCFWp800,DivHWp800,HullA800,HullP800,HullR800,HullB800,HullSI800,MHDWp1000,NQPDHWp100,BtHWp1000,TPBtHWp100,TPDWp1000,Lnk1000,Len1000,AngD1000,WtWp1000,Jnc1000,Con1000,MGLHWp1000,MCFWp1000,DivHWp1000,HullA1000,HullP1000,HullR1000,HullB1000,HullSI1000,MHDWpn,NQPDHWpn,BtHWpn,TPBtHWpn,TPDWpn,Lnkn,Lenn,AngDn,WtWpn,Jncn,Conn,MGLHWpn,MCFWpn,DivHWpn,HullAn,HullPn,HullRn,HullBn,HullSIn,PC,x,y,z,OBJECTID,Shape_Le_1,ID_1,Gate,Z_start_1,Z_end_1,Weight_1,Esc_1,Shade,Width,Total_1
0,45.164348063900000,9,28.5613003,28.0004997,2.0000000,0.0000000,2.7500000,2.0000000,59.8348999,1.0000000,342.4880066,2.2433600,165.9340057,280.2340088,280.4270020,143.6690063,0.0899923,21.3332996,1.1649700,0.7743920,11.0000000,542.9240112,1269.8399658,12.0000000,6.0000000,19.0000000,89.4195023,74.4113998,1.4448400,13132.2001953,561.7050171,239.9609985,202.9120026,1.9119101,358.0090027,2.5420001,1779.3299561,1.1381299,0.2822480,109.0000000,4724.8999023,5252.1601562,891.0000000,76.0000000,239.0000000,161.4609985,86.4452972,2.5842199,143643.0000000,1680.1099854,402.2460022,130.0169983,1.5637900,492.1000061,15.3161001,14512.2998047,1.4587100,0.9181480,357.0000000,20686.8007812,14070.0000000,7309.0000000,235.0000000,746.0000000,391.2869873,159.4649963,2.6489301,1286210.0000000,4308.3901367,935.9710083,292.6990051,1.1484400,707.5540161,103.3389969,141994.0000000,1.2331100,0.4662930,905.0000000,44717.6992188,32136.1992188,71450.0000000,560.0000000,1809.0000000,1388.9599609,610.8439941,2.3139000,2813950.0000000,6416.8701172,1549.8900146,304.9739990,1.1644500,846.3209839,301.6329956,498569.0000000,1.5703700,1.1407599,1723.0000000,70039.7968750,64999.3007812,249416.0000000,1037.0000000,3313.0000000,1564.6199951,687.7119751,2.2892799,3882410.0000000,7186.9702148,1600.3299561,325.7009888,1.0587200,1087.6700439,598.2830200,1226690.0000000,2.0000000,2.0000000,2731.0000000,108522.0000000,109027.0000000,613346.0000000,1463.0000000,4716.0000000,2023.6500244,836.1640015,2.4070001,5539380.0000000,8738.8603516,1685.4000244,199.7839966,1.0970800,0,0.0000000,0.0000000,0.0000000,9,0.000000000000000,0,none,0.0000000,0.0000000,0.0000000,0.0000000,1.5000000,1.2500000,0.0000000
1,34.637644124500000,18,28.0405006,38.5537987,940.0000000,2.0000000,5.0000000,2.0000000,44.8474007,1.0000000,183.8470001,1.2622401,110.5820007,279.2709961,285.8410034,93.0826035,10.0986004,294533.0000000,313.3330078,940.0000000,1.0000000,44.8474007,183.8470001,940.0000000,0.0000000,0.0000000,14.9490995,11.8434000,1.2622401,3.0890300,67.8806992,35.8750992,290.1770020,118.7030029,267.0889893,15.4478998,1951280.0000000,691.9439697,861.6669922,8.0000000,167.7510071,408.5230103,2820.0000000,4.0000000,12.0000000,33.6310997,13.7902002,2.4491999,456.1929932,107.4830017,44.2902985,299.1650085,2.0152299,267.0889893,15.4478998,2061730.0000000,731.1110229,940.0000000,8.0000000,167.7510071,408.5230103,2820.0000000,4.0000000,12.0000000,33.6310997,13.7902002,2.4491999,456.1929932,107.4830017,44.2902985,299.1650085,2.0152299,267.0889893,15.4478998,2061730.0000000,731.1110229,940.0000000,8.0000000,167.7510071,408.5230103,2820.0000000,4.0000000,12.0000000,33.6310997,13.7902002,2.4491999,456.1929932,107.4830017,44.2902985,299.1650085,2.0152299,267.0889893,15.4478998,2061730.0000000,731.1110229,940.0000000,8.0000000,167.7510071,408.5230103,2820.0000000,4.0000000,12.0000000,33.6310997,13.7902002,2.4491999,456.1929932,107.4830017,44.2902985,299.1650085,2.0152299,267.0889893,15.4478998,2061730.0000000,731.1110229,940.0000000,8.0000000,167.7510071,408.5230103,2820.0000000,4.0000000,12.0000000,33.6310997,13.7902002,2.4491999,456.1929932,107.4830017,44.2902985,299.1650085,2.0152299,0,0.0000000,0.0000000,0.0000000,18,0.000000000000000,0,none,0.0000000,0.0000000,0.0000000,0.0000000,3.0000000,2.0000000,0.0000000
2,27.702131059300001,19,28.0403996,28.0403996,470.0000000,0.0000000,2.0000000,2.0000000,27.7021008,1.0000000,3.5244401,1.0001400,288.2479858,15.6133003,15.6133003,90.4278030,148.2250061,1493030.0000000,400.3599854,415.1130066,18.0000000,482.1310120,841.5050049,3490.0000000,14.0000000,44.0000000,61.4208984,37.9949989,1.5034900,13003.4003906,451.9700012,125.3369980,124.3779984,1.2501200,159.9360046,158.5149994,2698820.0000000,434.4540100,447.5509949,85.0000000,2816.6298828,3491.8400879,6055.0000000,58.0000000,183.0000000,117.5729980,59.8016014,1.9052700,77280.2968750,1129.8100586,381.6659851,155.3990021,1.3144300,193.9389954,159.8520050,3008550.0000000,328.5589905,230.9869995,272.0000000,16552.5996094,11334.2998047,6714.0000000,179.0000000,566.0000000,177.7319946,80.9164963,2.1248901,1184550.0000000,4171.8198242,815.1199951,295.4970093,1.1691999,663.5670166,213.0809937,21557100.0000000,271.3460083,79.0707016,767.0000000,40570.1015625,28163.3007812,46178.0000000,470.0000000,1509.0000000,1118.5699463,536.3010254,2.0968800,2603450.0000000,6291.2700195,1498.7600098,307.5570068,1.2098100,842.9600220,379.4760132,91591600.0000000,337.0539856,205.6170044,1503.0000000,64694.0000000,55952.0000000,195187.0000000,914.0000000,2925.0000000,1327.1700439,630.6550293,2.1097901,3778160.0000000,7138.8598633,1547.5899658,330.0079956,1.0734100,1129.2199707,718.2999878,288124992.0000000,469.7600098,470.0000000,2731.0000000,108522.0000000,109027.0000000,613346.0000000,1463.0000000,4716.0000000,1830.7299805,789.9949951,2.2960100,5539380.0000000,8738.8603516,1635.3800049,197.3849945,1.0970800,0,0.0000000,0.0000000,0.0000000,19,0.000000000000000,0,none,0.0000000,0.0000000,0.0000000,0.0000000,1.0000000,1.0000000,0.0000000
3,87.652124059299993,22,31.2506008,23.1401005,2.0000000,0.0000000,0.5000000,4.0000000,88.0280991,1.0000000,17.7392006,1.0062600,144.4579926,13.2208996,13.7278004,143.8130035,23.4824009,49349.3007812,33.2061005,3.1209500,128.0000000,7430.9399414,4849.7797852,3094.0000000,96.0000000,305.0000000,230.2149963,185.3500061,1.3102400,638393.0000000,3270.8601074,808.3540039,76.3830032,1.3336000,321.6279907,70.1324997,773985.0000000,104.8850021,2.6333599,547.0000000,28234.9003906,18859.3007812,19218.0000000,350.0000000,1121.0000000,775.6810303,556.7559814,1.4138100,1819240.0000000,5394.6899414,1253.2099609,310.0570068,1.2730100,495.2909851,301.3269958,12140700.0000000,232.9479980,2.3158200,1187.0000000,55660.1015625,43750.8984375,139018.0000000,720.0000000,2306.0000000,1093.4100342,766.0510254,1.4316000,3504600.0000000,7013.3701172,1690.1800537,332.5849915,1.1168801,624.8200073,587.8729858,66682600.0000000,297.4689941,2.4007001,2041.0000000,83965.3984375,79211.8984375,342165.0000000,1178.0000000,3763.0000000,1264.0999756,825.0889893,1.5197700,4294490.0000000,7494.4702148,1785.8599854,356.2430115,1.0407799,678.8629761,689.7119751,142268992.0000000,366.4639893,2.2041500,2303.0000000,93865.1015625,92799.3984375,431870.0000000,1281.0000000,4100.0000000,1350.0100098,848.7449951,1.5779400,4602540.0000000,7805.2797852,1792.4799805,349.7500000,1.0533400,814.7449951,850.6250000,241508000.0000000,393.7550049,2.0000000,2731.0000000,108522.0000000,109027.0000000,613346.0000000,1463.0000000,4716.0000000,1627.6800537,901.2490234,1.8005400,5539380.0000000,8738.8603516,1792.4799805,349.7500000,1.0970800,0,0.0000000,0.0000000,0.0000000,22,0.000000000000000,0,no_45,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.5000000,0.0000000
4,24.082641977300000,556,33.7246017,38.5844994,1.0000000,0.0000000,0.5000000,3.0000000,26.2626991,1.0000000,143.4349976,1.1316200,265.9930115,21.5671997,21.2633991,146.6979980,23.9314003,2694.3300781,0.8283530,0.6572010,43.0000000,1402.6199951,2769.9099121,2695.0000000,30.0000000,96.0000000,156.1349945,123.4570007,1.2719700,38818.3984375,809.6870117,214.8899994,215.8200073,1.3439600,224.9900055,37.3221016,6378.3300781,0.9872730,0.9747560,174.0000000,8969.2802734,8165.1801758,6379.0000000,107.0000000,337.0000000,233.7510071,152.7579956,1.5000200,741828.0000000,3315.0400391,658.2780151,294.3529968,1.1788700,407.5299988,49.8021011,13031.2998047,0.7608270,0.5217520,523.0000000,27823.8007812,18661.1992188,13485.0000000,330.0000000,1055.0000000,797.2150269,436.1359863,1.7086300,1723840.0000000,5199.2998047,1288.1700439,299.5079956,1.2479100,693.1300049,216.4730072,133647.0000000,0.7070930,0.4141950,1150.0000000,54346.6015625,41737.6992188,133648.0000000,697.0000000,2234.0000000,1415.1800537,732.5260010,1.9209700,3309050.0000000,6832.8300781,1649.0000000,306.0350037,1.1227601,823.6820068,427.3609924,325712.0000000,0.8811370,0.7622770,1999.0000000,81116.5000000,75926.2968750,325790.0000000,1158.0000000,3700.0000000,1577.7199707,803.3259888,1.9525900,4217410.0000000,7460.1899414,1692.2299805,324.6229858,1.0501300,1023.9799805,661.0919800,613345.0000000,0.9999990,1.0000000,2731.0000000,108522.0000000,109027.0000000,613346.0000000,1463.0000000,4716.0000000,1966.7900391,919.1389771,2.1099000,5539380.0000000,8738.8603516,1692.2299805,324.6229858,1.0970800,240003408,0.0000000,0.0000000,0.0000000,556,0.000000000000000,0,no_73,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.5000000,0.0000000
5,88.918160864699999,561,38.5927010,28.0004997,1.0000000,0.0000000,1.5000000,4.0000000,91.8746033,1.0000000,269.5539856,1.2717400,297.2080078,135.5359955,137.5220032,160.7830048,0.6131210,113.3330002,0.7143400,0.4428640,15.0000000,677.8120117,1775.7600098,94.0000000,9.0000000,29.0000000,60.6880989,34.4019012,1.8667901,18264.1992188,611.7990112,213.4080048,216.3209991,1.6308200,313.6799927,13.7564001,6735.3300781,1.7491699,0.6148770,142.0000000,6210.2402344,7067.7900391,4162.0000000,91.0000000,287.0000000,230.3509979,98.7272034,2.3778901,216143.0000000,1897.9100342,408.0989990,145.7630005,1.3261800,427.1749878,24.3670998,12252.2998047,0.9607060,0.5052560,442.0000000,24002.5996094,16093.9003906,9519.0000000,286.0000000,913.0000000,599.6690063,280.2630005,2.2551401,1421320.0000000,4692.5000000,1212.7299805,299.5180054,1.2328399,706.2210083,162.0000000,112587.0000000,0.6950590,0.3443990,1044.0000000,49974.8007812,37597.8007812,109789.0000000,637.0000000,2052.0000000,1456.8199463,686.0159912,2.1397300,2987480.0000000,6558.7900391,1607.1700439,306.7239990,1.1458600,836.6290283,366.6440125,298694.0000000,0.8520690,0.6869890,1882.0000000,76159.2031250,70904.2031250,295899.0000000,1106.0000000,3536.0000000,1628.7900391,756.9019775,2.1535499,4213230.0000000,7458.3300781,1658.9200439,325.7160034,1.0506500,1052.0699463,624.8099976,616079.0000000,1.0044600,1.0000000,2731.0000000,108522.0000000,109027.0000000,613346.0000000,1463.0000000,4716.0000000,2036.1500244,881.5200195,2.2910700,5539380.0000000,8738.8603516,1658.9200439,325.7160034,1.0970800,0,0.0000000,0.0000000,0.0000000,561,0.000000000000000,0,no_73,0.0000000,0.0000000,0.0000000,0.0000000,1.0000000,0.5000000,0.0000000
6,28.234614293900002,569,38.6010017,30.0251999,1.0000000,0.0000000,0.5000000,4.0000000,30.9575005,1.0000000,150.5429993,1.0665801,127.7659988,22.6877995,23.2238007,137.7469940,24.3162994,22189.8007812,15.6464005,1.1051199,103.0000000,3982.0800781,4306.5297852,3067.0000000,70.0000000,224.0000000,134.0169983,103.0500031,1.3629900,125351.0000000,1530.6800537,356.6430054,303.7900085,1.4874200,213.8589935,38.7543983,450390.0000000,66.6576004,1.0019799,309.0000000,16841.1992188,11860.7001953,6912.0000000,208.0000000,660.0000000,251.0279999,159.0030060,1.5234100,1062290.0000000,3969.0100098,953.4459839,295.8059998,1.1800801,497.1029968,139.3520050,14991100.0000000,318.0559998,0.7006930,846.0000000,42340.1015625,30697.0996094,60197.0000000,522.0000000,1682.0000000,1217.8599854,680.1240234,1.7685800,2725160.0000000,6314.6601562,1634.4100342,307.0239868,1.1643900,645.7410278,381.9400024,111064000.0000000,506.6889954,0.6954140,1631.0000000,67863.1015625,61150.5000000,228446.0000000,982.0000000,3139.0000000,1408.2800293,767.3569946,1.8258300,3876960.0000000,7186.1499023,1699.2800293,326.5490112,1.0599600,745.2780151,581.7540283,256152000.0000000,661.0130005,0.9852130,2228.0000000,90352.6015625,88969.2031250,402807.0000000,1244.0000000,3971.0000000,1544.3100586,814.1770020,1.8803101,4428860.0000000,7631.3100586,1699.2800293,326.5490112,1.0464000,902.1290283,758.5739746,442079008.0000000,720.7670288,1.0000000,2731.0000000,108522.0000000,109027.0000000,613346.0000000,1463.0000000,4716.0000000,1878.4799805,905.3579712,2.0449600,5539380.0000000,8738.8603516,1699.2800293,326.5490112,1.0970800,0,0.0000000,0.0000000,0.0000000,569,0.000000000000000,0,none,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.5000000,0.0000000
7,74.056134388600000,570,29.0216999,28.0004997,1.0000000,0.0000000,1.5000000,5.0000000,74.1015015,1.0000000,15.2095003,1.0045700,305.4490051,33.4916000,33.6831017,174.3690033,1.4943500,399.3330078,3.9193399,0.7962430,72.0000000,3091.0100098,3857.2299805,229.0000000,51.0000000,161.0000000,126.2160034,58.2308998,3.1361599,103373.0000000,1301.4399414,291.2059937,141.0030060,1.3038700,298.5459900,17.9958000,26340.3007812,6.1653900,0.7197540,284.0000000,17278.9003906,12089.5996094,5130.0000000,192.0000000,609.0000000,315.8500061,132.9479980,2.8492801,1163940.0000000,4120.3798828,923.8969727,296.1390076,1.1607400,506.8800049,105.4820023,274223.0000000,9.1174803,0.6651410,806.0000000,41773.3007812,29784.5996094,51141.0000000,498.0000000,1604.0000000,1227.7199707,640.6710205,2.0225799,2740460.0000000,6355.0498047,1606.5699463,307.4159851,1.1727500,650.7520142,338.6459961,2730790.0000000,14.9055996,0.6520260,1573.0000000,66595.0000000,58461.8984375,212389.0000000,957.0000000,3061.0000000,1431.3199463,738.5180054,1.9623300,3861950.0000000,7171.9501953,1673.7099609,325.5620117,1.0598800,756.2990112,549.4409790,7103190.0000000,19.6191998,0.9670770,2215.0000000,90195.8984375,88571.7968750,396821.0000000,1237.0000000,3948.0000000,1569.6600342,785.9979858,1.9995600,4428860.0000000,7631.3100586,1676.7900391,327.2200012,1.0464000,916.2449951,730.2960205,14015600.0000000,22.8511009,1.0000000,2731.0000000,108522.0000000,109027.0000000,613346.0000000,1463.0000000,4716.0000000,1911.4799805,880.9349976,2.1543901,5539380.0000000,8738.8603516,1676.7900391,327.2200012,1.0970800,0,0.0000000,0.0000000,0.0000000,570,0.000000000000000,0,none,0.0000000,0.0000000,0.0000000,0.0000000,1.0000000,0.5000000,0.0000000
8,114.166512702000006,572,38.5909996,29.0000000,1.0000000,0.0000000,0.5000000,5.0000000,114.7409973,1.0000000,426.5509949,5.0562401,144.0229950,67.6622009,68.2617035,158.5039978,18.2262001,2731.3300781,0.9370410,0.8745690,80.0000000,2722.7900391,3739.6499023,2732.0000000,58.0000000,184.0000000,180.3370056,122.0749969,1.6097100,72125.2968750,1081.8000488,235.5480042,129.9730072,1.2912199,231.0290070,31.9638996,6527.8300781,0.9927900,0.9857840,243.0000000,14021.2998047,10266.2998047,6529.0000000,162.0000000,513.0000000,255.5839996,143.9980011,2.0041599,1023810.0000000,3939.8898926,939.0180054,300.7439880,1.2065200,496.4509888,92.6264038,39660.3007812,0.8107700,0.6215730,719.0000000,38296.3984375,26669.0000000,39661.0000000,441.0000000,1417.0000000,1203.4000244,650.1729736,1.8828300,2394240.0000000,6160.6601562,1636.5000000,309.4869995,1.2614700,660.4780273,303.5589905,186464.0000000,0.7822950,0.5645980,1417.0000000,61713.3984375,52891.6992188,187443.0000000,858.0000000,2742.0000000,1439.7399902,763.0399780,1.8933100,3768960.0000000,7135.2797852,1695.0799561,329.9639893,1.0749600,781.0180054,528.4149780,387586.0000000,0.9678580,0.9357190,2184.0000000,88179.7968750,85882.2968750,387773.0000000,1227.0000000,3916.0000000,1600.8599854,817.6569824,1.9508500,4427080.0000000,7630.5600586,1730.6099854,347.7090149,1.0466100,947.2390137,713.3090210,613345.0000000,0.9999990,1.0000000,2731.0000000,108522.0000000,109027.0000000,613346.0000000,1463.0000000,4716.0000000,1950.7900391,905.3950195,2.1405799,5539380.0000000,8738.8603516,1732.2800293,346.7909851,1.0970800,0,0.0000000,0.0000000,0.0000000,572,0.000000000000000,0,none,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.5000000,0.0000000
9,65.659415471700001,576,38.5909996,28.0004997,1.0000000,0.0000000,1.5000000,5.0000000,68.6158981,1.0000000,352.9960022,1.3917100,299.9769897,158.1040039,160.0899963,188.8580017,0.7664150,137.3329926,0.7142050,0.4380720,20.0000000,976.7700195,2171.9399414,138.0000000,12.0000000,38.0000000,60.6124992,30.5000000,2.0771799,25353.3007812,706.6879883,157.2700043,111.2239990,1.5675100,318.1400146,15.1548004,7206.3300781,1.2940201,0.6959650,149.0000000,6571.3398438,7298.3798828,4676.0000000,94.0000000,296.0000000,203.1710052,97.4449997,2.1445301,274873.0000000,2287.5900879,607.3590088,301.1440125,1.5150000,431.5580139,25.7159996,17159.3007812,1.3221999,0.5088560,467.0000000,25159.9003906,16709.1992188,10164.0000000,302.0000000,966.0000000,605.1760254,296.9519958,2.0975800,1576300.0000000,4859.0297852,1230.4599609,302.8320007,1.1919301,705.4039917,178.2239990,127908.0000000,0.7656760,0.3763320,1093.0000000,52296.1992188,39414.6992188,120912.0000000,665.0000000,2137.0000000,1434.9100342,701.9799805,2.0519500,3103210.0000000,6637.6201172,1611.6700439,308.9299927,1.1298000,834.4530029,385.8479919,317462.0000000,0.8859920,0.7227590,1935.0000000,78130.2031250,73637.2031250,310466.0000000,1128.0000000,3604.0000000,1605.2099609,773.7949829,2.0716300,4213230.0000000,7458.3300781,1683.2199707,327.6770020,1.0506500,1041.9300537,631.5739746,620341.0000000,1.0114100,1.0000000,2731.0000000,108522.0000000,109027.0000000,613346.0000000,1463.0000000,4716.0000000,1999.2099609,881.7639771,2.2499599,5539380.0000000,8738.8603516,1683.2199707,327.6770020,1.0970800,0,0.0000000,0.0000000,0.0000000,576,0.000000000000000,0,none,0.0000000,0.0000000,0.0000000,0.0000000,1.0000000,0.5000000,0.0000000
