OID_,ID,Z_start,Z_end,Weight,Esc,Total,LConn,LLen,LFrac,LAC,LSin,LBear,HMf,HMb,MHDWp200,NQPDHWp200,BtHWp200,TPBtHWp200,TPDWp200,Lnk200,Len200,AngD200,WtWp200,Jnc200,Con200,MGLHWp200,MCFWp200,DivHWp200,HullA200,HullP200,HullR200,HullB200,HullSI200,MHDWp400,NQPDHWp400,BtHWp400,TPBtHWp400,TPDWp400,Lnk400,Len400,AngD400,WtWp400,Jnc400,Con400,MGLHWp400,MCFWp400,DivHWp400,HullA400,HullP400,HullR400,HullB400,HullSI400,MHDWp600,NQPDHWp600,BtHWp600,TPBtHWp600,TPDWp600,Lnk600,Len600,AngD600,WtWp600,Jnc600,Con600,MGLHWp600,MCFWp600,DivHWp600,HullA600,HullP600,HullR600,HullB600,HullSI600,MHDWp800,NQPDHWp800,BtHWp800,TPBtHWp800,TPDWp800,Lnk800,Len800,AngD800,WtWp800,Jnc800,Con800,MGLHWp800,MCFWp800,DivHWp800,HullA800,HullP800,HullR800,HullB800,HullSI800,MHDWp1000,NQPDHWp1000,BtHWp1000,TPBtHWp1000,TPDWp1000,Lnk1000,Len1000,AngD1000,WtWp1000,Jnc1000,Con1000,MGLHWp1000,MCFWp1000,DivHWp1000,HullA1000,HullP1000,HullR1000,HullB1000,HullSI1000,MHDWpn,NQPDHWpn,BtHWpn,TPBtHWpn,TPDWpn,Lnkn,Lenn,AngDn,WtWpn,Jncn,Conn,MGLHWpn,MCFWpn,DivHWpn,HullAn,HullPn,HullRn,HullBn,HullSIn,OBJECTID,Shape_Length_1,ID_1,Gate,Z_start_1,Z_end_1,Weight_1,Esc_1,Shade,Width,Total_1,Shape_Length
1,3,32.7248001,23.8258991,3.0000000,0.0000000,1.7500000,5.0000000,370.1489563,1.0000000,174.8193970,1.0257365,289.9659424,241.0122986,242.9589081,157.8627930,0.1444215,57.0000000,1.6299999,0.8314282,19.0000000,1420.0003662,577.3982544,21.0000000,18.0000000,56.0000000,249.6903992,215.8335419,1.1522955,132529.3125000,1678.3488770,454.1754150,106.8327942,1.6913859,353.8959351,9.9136229,10521.5000000,2.1340337,1.1948206,350.0000000,17497.0878906,10926.9541016,3450.0000000,243.0000000,780.0000000,607.8041382,393.4117126,1.9658557,1023677.4375000,3906.6159668,798.2512817,297.9867249,1.1863927,512.0835571,247.8426666,378902.5000000,2.8263960,2.5506041,1106.0000000,46819.5546875,35448.5156250,125400.0000000,677.0000000,2176.0000000,867.5457764,562.4644165,1.7374467,2320544.2500000,5832.3920898,1448.3967285,304.9523315,1.1665241,631.0515137,515.0075073,943849.0000000,2.9767132,2.9453244,1876.0000000,70095.7890625,66973.0390625,313929.0000000,1105.0000000,3531.0000000,921.1984863,603.2697754,1.6335543,3785565.0000000,7201.5258789,1496.5604248,356.3780518,1.0902058,684.3820801,623.2494507,1221985.0000000,2.9972343,2.9908555,2245.0000000,88222.3281250,87889.6484375,407131.0000000,1250.0000000,3989.0000000,1022.2680664,646.1137085,1.6462418,4401782.0000000,7619.7871094,1509.8488770,347.7614136,1.0496567,859.1709595,796.3933105,1840630.0000000,3.0009651,3.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1362.9822998,752.7863159,1.8069636,5539375.0000000,8738.8583984,1715.1008301,196.5201263,1.0970812,3,,,,,,,,1.0000000,0.7500000,,368.249943837360661
2,9,28.5613003,28.0004997,2.0000000,0.0000000,2.7500000,2.0000000,59.8348541,1.0000000,342.4879456,2.2433612,165.9337921,280.2341003,280.4269104,143.6687469,0.0899923,21.3333340,1.1649739,0.7743922,11.0000000,542.9235840,1269.8393555,12.0000000,6.0000000,19.0000000,89.4194641,74.4113770,1.4448394,13132.2353516,561.7047729,239.9612122,202.9115601,1.9119111,358.0086060,2.5419958,1779.3333740,1.1381310,0.2822478,109.0000000,4724.9047852,5252.1596680,891.0000000,76.0000000,239.0000000,161.4606476,86.4452667,2.5842242,143643.2031250,1680.1069336,402.2463684,130.0167542,1.5637916,492.1000366,15.3160868,14512.3330078,1.4587092,0.9181481,357.0000000,20686.7617188,14070.0273438,7309.0000000,235.0000000,746.0000000,391.2867737,159.4649353,2.6489289,1286210.5000000,4308.3916016,935.9705811,292.6991577,1.1484402,707.5541382,103.3391647,141994.3281250,1.2331092,0.4662931,905.0000000,44717.6835938,32136.1523438,71450.0000000,560.0000000,1809.0000000,1388.9608154,610.8444214,2.3138971,2813952.0000000,6416.8681641,1549.8868408,304.9738464,1.1644468,846.3206787,301.6329041,498569.3437500,1.5703707,1.1407627,1723.0000000,70039.8281250,64999.3164062,249416.0000000,1037.0000000,3313.0000000,1564.6190186,687.7120361,2.2892838,3882410.0000000,7186.9721680,1600.3322754,325.7006836,1.0587189,1087.6663818,598.2825928,1226689.3750000,1.9999957,2.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,2023.6490479,836.1644897,2.4070013,5539375.0000000,8738.8583984,1685.3958740,199.7844238,1.0970812,9,,,none,,,,,1.5000000,1.2500000,,45.164348063885598
3,10,38.5708008,28.0151005,275.0000000,1.0000000,2.2500000,5.0000000,62.3917274,1.0000000,88.2681274,1.1726184,124.2984543,84.7461700,84.7461700,122.2571259,33.4773216,799263.3125000,223.7771912,202.5146332,40.0000000,1569.2805176,1430.4488525,3084.0000000,29.0000000,92.0000000,136.5823822,98.5019989,1.4544811,54254.5703125,994.7629395,246.7643585,154.7465210,1.4514197,196.6049652,46.3945961,1735564.8750000,267.0375061,268.2611389,224.0000000,13964.1494141,9574.4687500,6428.0000000,145.0000000,461.0000000,194.5727081,117.5245895,1.7117758,1117914.2500000,4122.2963867,908.2403564,300.7160034,1.2096510,489.5052185,99.6331100,9756517.0000000,222.1511078,166.3052979,692.0000000,36226.0156250,24657.0410156,35774.0000000,428.0000000,1375.0000000,967.1616211,607.9491577,1.6147252,2465696.0000000,6252.4453125,1605.9129639,309.6393433,1.2616835,663.2119141,301.8281555,49016808.0000000,213.9625702,148.4888611,1389.0000000,61866.6679688,52069.6445312,177974.0000000,835.0000000,2669.0000000,1189.8679199,732.2485962,1.6288227,3756300.0000000,7130.8115234,1667.9803467,330.4705811,1.0772283,787.9018555,528.6912231,105605128.0000000,266.4263000,251.7290649,2168.0000000,88554.9609375,86740.3593750,380874.0000000,1220.0000000,3895.0000000,1355.4128418,790.7930298,1.6996645,4411768.5000000,7624.0498047,1697.1724854,329.2229614,1.0484527,958.2612915,718.7062988,171072016.0000000,278.9159851,275.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1703.0661621,878.9591064,1.9126399,5539375.0000000,8738.8583984,1710.6894531,347.5287781,1.0970812,10,,,,,,,,1.2500000,1.0000000,,52.181995252429793
4,18,28.0405006,38.5537987,940.0000000,2.0000000,5.0000000,2.0000000,44.8474045,0.9999999,183.8470001,1.2622384,110.5818710,279.2706909,285.8414917,93.0825500,10.0985641,294533.3750000,313.3333740,940.0000610,1.0000001,44.8474083,183.8470001,940.0000610,0.0000000,0.0000000,14.9491367,11.8433542,1.2622384,3.0890255,67.8806686,35.8751221,290.1773987,118.7027740,267.0886536,15.4479465,1951283.3750000,691.9444580,861.6666870,8.0000000,167.7506866,408.5227661,2820.0000000,4.0000000,12.0000000,33.6311035,13.7902193,2.4492021,456.1930237,107.4834747,44.2902565,299.1650391,2.0152311,267.0886536,15.4479465,2061733.3750000,731.1111450,940.0000610,8.0000000,167.7506866,408.5227661,2820.0000000,4.0000000,12.0000000,33.6311035,13.7902193,2.4492021,456.1930237,107.4834747,44.2902565,299.1650391,2.0152311,267.0886536,15.4479465,2061733.3750000,731.1111450,940.0000610,8.0000000,167.7506866,408.5227661,2820.0000000,4.0000000,12.0000000,33.6311035,13.7902193,2.4492021,456.1930237,107.4834747,44.2902565,299.1650391,2.0152311,267.0886536,15.4479465,2061733.3750000,731.1111450,940.0000610,8.0000000,167.7506866,408.5227661,2820.0000000,4.0000000,12.0000000,33.6311035,13.7902193,2.4492021,456.1930237,107.4834747,44.2902565,299.1650391,2.0152311,267.0886536,15.4479465,2061733.3750000,731.1111450,940.0000610,8.0000000,167.7506866,408.5227661,2820.0000000,4.0000000,12.0000000,33.6311035,13.7902193,2.4492021,456.1930237,107.4834747,44.2902565,299.1650391,2.0152311,18,,,none,,,,,3.0000000,2.0000000,,34.637644124491842
5,19,28.0403996,28.0403996,470.0000000,0.0000000,2.0000000,2.0000000,27.7021332,1.0000000,3.5244365,1.0001413,288.2478638,15.6132851,15.6132851,90.4278107,148.2248383,1493033.3750000,400.3596802,415.1128540,18.0000000,482.1314087,841.5052490,3490.0000000,14.0000000,44.0000000,61.4208527,37.9950066,1.5034853,13003.4130859,451.9697571,125.3369904,124.3782120,1.2501194,159.9356689,158.5148621,2698818.2500000,434.4541931,447.5513916,85.0000000,2816.6337891,3491.8364258,6055.0000000,58.0000000,183.0000000,117.5733719,59.8016167,1.9052697,77280.2656250,1129.8148193,381.6655579,155.3989563,1.3144257,193.9393311,159.8519287,3008548.2500000,328.5594788,230.9874878,272.0000000,16552.5996094,11334.2841797,6714.0000000,179.0000000,566.0000000,177.7320709,80.9165344,2.1248894,1184548.5000000,4171.8168945,815.1203003,295.4971313,1.1691972,663.5668945,213.0811310,21557098.0000000,271.3462524,79.0706940,767.0000000,40570.0781250,28163.2773438,46178.0000000,470.0000000,1509.0000000,1118.5660400,536.3013306,2.0968759,2603454.5000000,6291.2700195,1498.7585449,307.5574646,1.2098089,842.9597168,379.4762268,91591560.0000000,337.0541382,205.6172333,1503.0000000,64693.9648438,55951.9570312,195187.0000000,914.0000000,2925.0000000,1327.1705322,630.6551514,2.1097889,3778162.2500000,7138.8559570,1547.5933838,330.0079956,1.0734128,1129.2172852,718.2996826,288125344.0000000,469.7598877,470.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1830.7270508,789.9947510,2.2960055,5539375.0000000,8738.8583984,1635.3780518,197.3847351,1.0970812,19,,,none,,,,,1.0000000,1.0000000,,27.702131059270755
6,20,38.5537987,38.5537987,470.0000000,0.0000000,2.0000000,2.0000000,50.1638336,1.0000000,89.8475876,1.0964576,297.2083130,70.0057068,70.0057068,92.4549866,33.7632294,736333.3125000,391.6666565,470.0000000,7.0000000,122.9032745,224.6757507,1880.0000000,4.0000000,12.0000000,37.2696609,16.6130276,2.5193255,456.1930237,107.4834747,45.9945412,291.3575745,2.0152311,181.7620087,36.3716125,1178133.3750000,427.5694275,489.5833435,8.0000000,167.7506866,408.5227661,2820.0000000,4.0000000,12.0000000,40.6816444,15.9343233,2.7658710,456.1930237,107.4834747,45.9945412,291.3575745,2.0152311,181.7620087,36.3716125,1178133.3750000,417.7777710,470.0000000,8.0000000,167.7506866,408.5227661,2820.0000000,4.0000000,12.0000000,40.6816444,15.9343233,2.7658710,456.1930237,107.4834747,45.9945412,291.3575745,2.0152311,181.7620087,36.3716125,1178133.3750000,417.7777710,470.0000000,8.0000000,167.7506866,408.5227661,2820.0000000,4.0000000,12.0000000,40.6816444,15.9343233,2.7658710,456.1930237,107.4834747,45.9945412,291.3575745,2.0152311,181.7620087,36.3716125,1178133.3750000,417.7777710,470.0000000,8.0000000,167.7506866,408.5227661,2820.0000000,4.0000000,12.0000000,40.6816444,15.9343233,2.7658710,456.1930237,107.4834747,45.9945412,291.3575745,2.0152311,181.7620087,36.3716125,1178133.3750000,417.7777710,470.0000000,8.0000000,167.7506866,408.5227661,2820.0000000,4.0000000,12.0000000,40.6816444,15.9343233,2.7658710,456.1930237,107.4834747,45.9945412,291.3575745,2.0152311,20,,,none,,,,,1.0000000,1.0000000,,50.163834275254288
7,22,31.2506008,23.1401005,2.0000000,0.0000000,0.5000000,4.0000000,88.0281219,1.0000000,17.7392483,1.0062642,144.4583588,13.2209215,13.7278280,143.8125153,23.4823608,49349.3320312,33.2061119,3.1209548,128.0000000,7430.9409180,4849.7822266,3094.0000000,96.0000000,305.0000000,230.2148895,185.3495331,1.3102427,638392.8750000,3270.8564453,808.3535156,76.3830414,1.3335984,321.6280212,70.1325073,773985.3125000,104.8853683,2.6333630,547.0000000,28234.9042969,18859.3281250,19218.0000000,350.0000000,1121.0000000,775.6810913,556.7561646,1.4138113,1819240.6250000,5394.6855469,1253.2075195,310.0574951,1.2730113,495.2908630,301.3273926,12140703.0000000,232.9478302,2.3158181,1187.0000000,55660.0507812,43750.8593750,139018.0000000,720.0000000,2306.0000000,1093.4077148,766.0512085,1.4315954,3504599.0000000,7013.3666992,1690.1787109,332.5850830,1.1168759,624.8200684,587.8731689,66682620.0000000,297.4688721,2.4006999,2041.0000000,83965.4062500,79211.8750000,342165.0000000,1178.0000000,3763.0000000,1264.0988770,825.0892944,1.5197664,4294494.5000000,7494.4716797,1785.8642578,356.2425232,1.0407828,678.8634033,689.7117920,142268784.0000000,366.4641113,2.2041483,2303.0000000,93865.0625000,92799.4296875,431870.0000000,1281.0000000,4100.0000000,1350.0107422,848.7446899,1.5779368,4602535.5000000,7805.2758789,1792.4842529,349.7500000,1.0533422,814.7450562,850.6254883,241508192.0000000,393.7552185,2.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1627.6849365,901.2493286,1.8005410,5539375.0000000,8738.8583984,1792.4842529,349.7500000,1.0970812,22,,,no_45,,,,,0.0000000,0.5000000,,87.652124059260856
8,209,0.0000000,0.0000000,1.0000000,0.0000000,1.0000000,2.0000000,14.6844950,0.9999999,162.0098267,1.2663161,317.1759949,44.1735802,45.5646172,44.9861565,0.1055380,2.3333335,0.7777778,1.0000000,3.0000000,69.1053619,302.5578613,3.0000000,2.0000000,6.0000000,15.5965881,10.5607452,1.4511424,338.2678528,93.3803558,48.4351273,205.8828583,2.0513532,44.9861565,0.1055380,2.3333335,0.7777778,1.0000000,3.0000000,69.1053619,302.5578613,3.0000000,2.0000000,6.0000000,15.5965881,10.5607452,1.4511424,338.2678528,93.3803558,48.4351273,205.8828583,2.0513532,44.9861565,0.1055380,2.3333335,0.7777778,1.0000000,3.0000000,69.1053619,302.5578613,3.0000000,2.0000000,6.0000000,15.5965881,10.5607452,1.4511424,338.2678528,93.3803558,48.4351273,205.8828583,2.0513532,44.9861565,0.1055380,2.3333335,0.7777778,1.0000000,3.0000000,69.1053619,302.5578613,3.0000000,2.0000000,6.0000000,15.5965881,10.5607452,1.4511424,338.2678528,93.3803558,48.4351273,205.8828583,2.0513532,44.9861565,0.1055380,2.3333335,0.7777778,1.0000000,3.0000000,69.1053619,302.5578613,3.0000000,2.0000000,6.0000000,15.5965881,10.5607452,1.4511424,338.2678528,93.3803558,48.4351273,205.8828583,2.0513532,44.9861565,0.1055380,2.3333335,0.7777778,1.0000000,3.0000000,69.1053619,302.5578613,3.0000000,2.0000000,6.0000000,15.5965881,10.5607452,1.4511424,338.2678528,93.3803558,48.4351273,205.8828583,2.0513532,209,,,none,,,,,0.5000000,0.5000000,,4.017251481950932
9,211,0.0000000,0.0000000,1.0000000,0.0000000,1.0000000,2.0000000,35.1138763,1.0000000,20.3159676,1.0091323,29.6840324,13.9259233,13.8578854,46.9151268,0.2464288,2.3333333,0.7777778,1.0000000,3.0000000,69.1053619,302.5578613,3.0000000,2.0000000,6.0000000,21.2714157,16.8298244,1.2332810,338.2678528,93.3803482,46.3023415,65.4230881,2.0513530,46.9151268,0.2464288,2.3333333,0.7777778,1.0000000,3.0000000,69.1053619,302.5578613,3.0000000,2.0000000,6.0000000,21.2714157,16.8298244,1.2332810,338.2678528,93.3803482,46.3023415,65.4230881,2.0513530,46.9151268,0.2464288,2.3333333,0.7777778,1.0000000,3.0000000,69.1053619,302.5578613,3.0000000,2.0000000,6.0000000,21.2714157,16.8298244,1.2332810,338.2678528,93.3803482,46.3023415,65.4230881,2.0513530,46.9151268,0.2464288,2.3333333,0.7777778,1.0000000,3.0000000,69.1053619,302.5578613,3.0000000,2.0000000,6.0000000,21.2714157,16.8298244,1.2332810,338.2678528,93.3803482,46.3023415,65.4230881,2.0513530,46.9151268,0.2464288,2.3333333,0.7777778,1.0000000,3.0000000,69.1053619,302.5578613,3.0000000,2.0000000,6.0000000,21.2714157,16.8298244,1.2332810,338.2678528,93.3803482,46.3023415,65.4230881,2.0513530,46.9151268,0.2464288,2.3333333,0.7777778,1.0000000,3.0000000,69.1053619,302.5578613,3.0000000,2.0000000,6.0000000,21.2714157,16.8298244,1.2332810,338.2678528,93.3803482,46.3023415,65.4230881,2.0513530,211,,,none,,,,,0.5000000,0.5000000,,35.108693260694736
10,554,28.0004997,28.0004997,1.0000000,0.0000000,0.2500000,5.0000000,72.2283173,1.0000000,140.5485840,1.7622755,327.2986755,13.2985563,13.2985563,162.2391968,3.7641256,661.8333130,3.5311124,0.7170464,91.0000000,4362.8447266,3626.8608398,404.0000000,66.0000000,208.0000000,272.4599915,158.5536194,1.7828896,160276.4531250,1773.0621338,552.1176147,313.9779358,1.5608757,295.9516296,25.9943771,33179.8320312,5.9560738,0.8658172,349.0000000,20473.8359375,13995.9414062,6869.0000000,233.0000000,739.0000000,522.7816162,321.2913208,1.6406035,1286210.5000000,4308.3916016,1125.2689209,303.2248535,1.1484402,507.5097656,144.3940735,293521.3437500,5.7381196,0.7442732,902.0000000,45969.0429688,32969.2343750,69152.0000000,554.0000000,1788.0000000,1440.9732666,832.1420288,1.7282407,2863620.0000000,6425.1630859,1767.7988281,310.3152161,1.1472104,648.2760620,402.3520813,1330463.3750000,5.5337386,0.7667176,1722.0000000,70688.2265625,64953.1250000,248825.0000000,1031.0000000,3293.0000000,1613.4185791,913.0093384,1.7625437,3887308.2500000,7188.8618164,1856.8903809,328.1534119,1.0579410,736.0043945,583.4722900,2702535.2500000,6.7654376,0.9991018,2239.0000000,90584.1796875,89919.0000000,406636.0000000,1245.0000000,3974.0000000,1740.9765625,948.7644043,1.8260884,4428862.5000000,7631.3120117,1856.8903809,328.1534119,1.0463967,889.8328857,758.4685059,4293855.5000000,7.0007067,1.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,2070.6391602,1020.9898071,2.0185421,5539375.0000000,8738.8583984,1856.8903809,328.1534119,1.0970812,554,,,none,,,,,0.0000000,0.2500000,,72.228316736017575
