OID_,ID,Z_start,Z_end,Weight,Esc,Total,LConn,LLen,LFrac,LAC,LSin,LBear,HMf,HMb,MHDWp200,NQPDHWp200,BtHWp200,TPBtHWp200,TPDWp200,Lnk200,Len200,AngD200,WtWp200,Jnc200,Con200,MGLHWp200,MCFWp200,DivHWp200,HullA200,HullP200,HullR200,HullB200,HullSI200,MHDWp400,NQPDHWp400,BtHWp400,TPBtHWp400,TPDWp400,Lnk400,Len400,AngD400,WtWp400,Jnc400,Con400,MGLHWp400,MCFWp400,DivHWp400,HullA400,HullP400,HullR400,HullB400,HullSI400,MHDWp600,NQPDHWp600,BtHWp600,TPBtHWp600,TPDWp600,Lnk600,Len600,AngD600,WtWp600,Jnc600,Con600,MGLHWp600,MCFWp600,DivHWp600,HullA600,HullP600,HullR600,HullB600,HullSI600,MHDWp800,NQPDHWp800,BtHWp800,TPBtHWp800,TPDWp800,Lnk800,Len800,AngD800,WtWp800,Jnc800,Con800,MGLHWp800,MCFWp800,DivHWp800,HullA800,HullP800,HullR800,HullB800,HullSI800,MHDWp1000,NQPDHWp1000,BtHWp1000,TPBtHWp1000,TPDWp1000,Lnk1000,Len1000,AngD1000,WtWp1000,Jnc1000,Con1000,MGLHWp1000,MCFWp1000,DivHWp1000,HullA1000,HullP1000,HullR1000,HullB1000,HullSI1000,MHDWpn,NQPDHWpn,BtHWpn,TPBtHWpn,TPDWpn,Lnkn,Lenn,AngDn,WtWpn,Jncn,Conn,MGLHWpn,MCFWpn,DivHWpn,HullAn,HullPn,HullRn,HullBn,HullSIn,OBJECTID,Shape_Length_1,ID_1,Gate,Z_start_1,Z_end_1,Weight_1,Esc_1,Shade,Width,Total_1,Shape_Length
1,35,33.2397995,50.3175011,11.0000000,0.0000000,6.5000000,4.0000000,1054.0268555,1.0000000,421.4718323,1.2011707,298.6089172,2437.3720703,2423.4965820,806.8933105,0.0136325,40.3333321,3.6666667,11.0000000,1.0000000,1054.0268555,421.4718323,11.0000000,0.0000000,0.0000000,351.3422852,292.4998779,1.2011707,97035.6015625,1821.3918457,493.0868225,288.2835693,2.7206070,806.8933105,0.0136325,40.3333321,3.6666667,11.0000000,1.0000000,1054.0268555,421.4718323,11.0000000,0.0000000,0.0000000,351.3422852,292.4998779,1.2011707,97035.6015625,1821.3918457,493.0868225,288.2835693,2.7206070,806.8933105,0.0136325,40.3333321,3.6666667,11.0000000,1.0000000,1054.0268555,421.4718323,11.0000000,0.0000000,0.0000000,351.3422852,292.4998779,1.2011707,97035.6015625,1821.3918457,493.0868225,288.2835693,2.7206070,806.8933105,0.0136325,40.3333321,3.6666667,11.0000000,1.0000000,1054.0268555,421.4718323,11.0000000,0.0000000,0.0000000,351.3422852,292.4998779,1.2011707,97035.6015625,1821.3918457,493.0868225,288.2835693,2.7206070,806.8933105,0.0136325,40.3333321,3.6666667,11.0000000,1.0000000,1054.0268555,421.4718323,11.0000000,0.0000000,0.0000000,351.3422852,292.4998779,1.2011707,97035.6015625,1821.3918457,493.0868225,288.2835693,2.7206070,2028.3304443,305.3202820,9200057.0000000,14.9997835,11.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,2026.0032959,1013.9075928,2.0601468,5539375.0000000,8738.8583984,2187.6604004,12.3647318,1.0970812,35,,,,,,,,3.0000000,3.5000000,,1048.301600131928126
2,57,47.2240982,53.5027008,8.0000000,0.0000000,3.0000000,4.0000000,519.8067017,1.0000000,210.9204559,1.2101772,303.9443054,558.1127319,555.7583008,185.2593994,0.0431827,21.3333282,2.6666663,7.9999990,0.9999999,519.8066406,210.9204712,7.9999990,0.0000000,0.0000000,173.2688751,143.1764526,1.2101772,34947.2148438,945.4149170,252.0251770,278.6105957,2.0352721,282.0713501,0.0780744,117.3333282,4.5597348,5.3861361,11.0000000,1516.1673584,550.3652344,20.0000000,10.0000000,32.0000000,381.5984192,338.3424988,1.1506553,191286.9531250,2293.9123535,577.1774292,282.9478455,2.1890638,532.3316650,30.6370201,129109.3359375,8.5559111,9.1171074,34.0000000,4771.2607422,2536.8520508,16144.0000000,22.0000000,72.0000000,816.4115601,420.7046509,1.9997483,672784.9375000,3619.0988770,1062.4582520,338.6069641,1.5492260,555.2032471,33.0123215,143581.3281250,7.1835113,2.6465938,142.0000000,15734.3925781,8609.1738281,17943.0000000,89.0000000,294.0000000,871.8475952,451.3019714,1.9894079,1757586.2500000,5357.9990234,1711.4094238,332.3509216,1.2998067,843.1117554,94.9888763,699863.3125000,8.0100040,1.7298130,637.0000000,35768.1679688,23473.9121094,75590.0000000,422.0000000,1369.0000000,1556.8930664,785.0216064,1.9926046,2843900.0000000,6332.1879883,1995.4802246,347.6777954,1.1219755,1177.1097412,541.0769653,8586735.0000000,13.9998226,8.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,2117.5976562,1042.7769775,2.0935326,5539375.0000000,8738.8583984,2214.4472656,11.9031363,1.0970812,57,,,,,,,,1.0000000,2.0000000,,515.931420873758839
3,62,42.6119995,43.9523010,2.0000000,0.0000000,1.0000000,2.0000000,260.9666138,1.0000000,198.0232544,7.0336232,214.1034393,115.6767883,115.5092545,109.9559097,0.1011882,13.3333330,1.5416666,1.7500000,7.0000000,790.4140625,618.7465820,8.0000000,4.0000000,12.0000000,244.1880798,157.6601410,2.8929994,23305.4355469,729.5844727,321.7589111,120.7992859,1.8175404,130.7465820,0.1105380,17.3333340,1.7333333,2.0000000,8.0000000,871.2160645,704.5021973,10.0000000,4.0000000,12.0000000,280.3941040,158.2984924,2.8431070,23305.4355469,729.5844727,321.7589111,120.7992859,1.8175404,130.7465820,0.1105380,17.3333340,1.5274510,1.5882353,8.0000000,871.2160645,704.5021973,10.0000000,4.0000000,12.0000000,280.3941040,158.2984924,2.8431070,23305.4355469,729.5844727,321.7589111,120.7992859,1.8175404,365.0610657,0.1205409,31.3333340,1.8431373,2.0000000,9.0000000,1253.7003174,1103.1580811,17.0000000,4.0000000,12.0000000,376.4040527,257.8693848,2.2009318,52226.1015625,966.2818604,402.5058594,131.3330994,1.4226897,365.0610657,0.1205409,31.3333340,1.8431373,2.0000000,9.0000000,1253.7003174,1103.1580811,17.0000000,4.0000000,12.0000000,376.4040527,257.8693848,2.2009318,52226.1015625,966.2818604,402.5058594,131.3330994,1.4226897,365.0610657,0.1205409,31.3333340,1.8431373,2.0000000,9.0000000,1253.7003174,1103.1580811,17.0000000,4.0000000,12.0000000,376.4040527,257.8693848,2.2009318,52226.1015625,966.2818604,402.5058594,131.3330994,1.4226897,62,,,,,,,,0.0000000,1.0000000,,260.368351223299783
4,77,34.4477997,38.7742004,2.0000000,0.0000000,0.5000000,2.0000000,424.0361633,1.0000000,134.6690369,1.4498534,148.4464111,70.5542145,70.2838135,113.3999329,0.2085703,29.3333340,1.4563930,1.2461194,15.0000000,2013.9394531,672.6978760,16.0000000,8.0000000,24.0000000,348.3178101,238.6358032,1.4814996,177247.4843750,1805.8997803,654.2188721,353.1602783,1.4641896,373.6495972,22.0360374,16141.3330078,1.0878141,0.1762807,229.0000000,14225.2548828,6531.5131836,8173.0000000,172.0000000,554.0000000,1189.5834961,849.1609497,1.4155750,951741.5625000,3863.1191406,1088.4638672,347.8420105,1.2478067,499.6353455,254.0836945,249625.3281250,1.5452024,1.0904474,936.0000000,42443.7929688,31963.3515625,124815.0000000,564.0000000,1818.0000000,1250.2236328,815.9370728,1.5555607,2627744.2500000,6110.6943359,1548.4803467,329.4598999,1.1308061,633.4238281,567.8428345,694190.3125000,2.1405804,2.2811761,1945.0000000,74989.3281250,73133.7187500,346070.0000000,1133.0000000,3615.0000000,1382.4678955,875.2559814,1.6140046,4012050.0000000,7351.6450195,1994.8287354,8.4013481,1.0719953,679.7987061,659.1510010,851661.3125000,2.0728388,2.1456900,2281.0000000,90311.2578125,89358.8203125,426052.0000000,1273.0000000,4075.0000000,1433.2192383,881.6942139,1.6964912,4577555.5000000,7794.4360352,2011.4932861,12.9099922,1.0561507,823.8124390,823.3378906,1226689.3750000,1.9999957,2.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1554.0200195,869.8551025,1.9639885,5539375.0000000,8738.8583984,2011.4932861,12.9099922,1.0970812,77,,,,,,,,0.0000000,0.5000000,,423.137147142506080
5,89,39.3961983,36.3303986,3.0000000,0.0000000,1.5000000,4.0000000,199.0382690,1.0000000,45.2962112,1.0062702,301.2488708,92.4659500,93.0407867,82.1286469,0.1749154,36.0000000,3.4607842,2.8862746,6.0000000,581.3334351,507.4338379,10.0000000,4.0000000,12.0000000,139.7548828,123.8562164,1.1261299,24185.9804688,768.3530273,229.9784088,295.4149780,1.9424419,143.7971802,0.2115543,100.0000000,5.5555553,3.0000000,8.0000000,687.9620972,580.8564453,18.0000000,4.0000000,12.0000000,167.9248505,134.4652100,1.2378874,29747.2207031,793.3068237,229.9784088,295.4149780,1.6835504,143.7971802,0.2115543,100.0000000,5.5555553,3.0000000,8.0000000,687.9620972,580.8564453,18.0000000,4.0000000,12.0000000,167.9248505,134.4652100,1.2378874,29747.2207031,793.3068237,229.9784088,295.4149780,1.6835504,143.7971802,0.2115543,100.0000000,5.5555553,3.0000000,8.0000000,687.9620972,580.8564453,18.0000000,4.0000000,12.0000000,167.9248505,134.4652100,1.2378874,29747.2207031,793.3068237,229.9784088,295.4149780,1.6835504,143.7971802,0.2115543,100.0000000,5.5555553,3.0000000,8.0000000,687.9620972,580.8564453,18.0000000,4.0000000,12.0000000,167.9248505,134.4652100,1.2378874,29747.2207031,793.3068237,229.9784088,295.4149780,1.6835504,143.7971802,0.2115543,100.0000000,5.5555553,3.0000000,8.0000000,687.9620972,580.8564453,18.0000000,4.0000000,12.0000000,167.9248505,134.4652100,1.2378874,29747.2207031,793.3068237,229.9784088,295.4149780,1.6835504,89,,,none,,,,,0.0000000,1.5000000,,198.427930030583411
6,104,35.4137993,36.3303986,2.0000000,0.0000000,1.5000000,4.0000000,76.3643646,0.9999999,12.3854065,1.0042825,32.3822174,34.0028152,33.8309479,98.4838333,0.3206994,47.3333321,3.5375519,3.0453951,7.0000000,580.1667480,519.5791626,17.0000000,4.0000000,12.0000000,100.6401749,77.3942795,1.2998024,20516.1542969,761.5837402,226.9658508,111.4937363,2.2497253,105.1180801,0.3252886,161.3333282,8.9629631,2.0000000,8.0000000,687.9620972,580.8564453,18.0000000,4.0000000,12.0000000,111.2222824,83.9772339,1.3101552,29747.2207031,793.3068237,226.9658508,111.4937363,1.6835504,105.1180801,0.3252886,161.3333282,8.9629631,2.0000000,8.0000000,687.9620972,580.8564453,18.0000000,4.0000000,12.0000000,111.2222824,83.9772339,1.3101552,29747.2207031,793.3068237,226.9658508,111.4937363,1.6835504,105.1180801,0.3252886,161.3333282,8.9629631,2.0000000,8.0000000,687.9620972,580.8564453,18.0000000,4.0000000,12.0000000,111.2222824,83.9772339,1.3101552,29747.2207031,793.3068237,226.9658508,111.4937363,1.6835504,105.1180801,0.3252886,161.3333282,8.9629631,2.0000000,8.0000000,687.9620972,580.8564453,18.0000000,4.0000000,12.0000000,111.2222824,83.9772339,1.3101552,29747.2207031,793.3068237,226.9658508,111.4937363,1.6835504,105.1180801,0.3252886,161.3333282,8.9629631,2.0000000,8.0000000,687.9620972,580.8564453,18.0000000,4.0000000,12.0000000,111.2222824,83.9772339,1.3101552,29747.2207031,793.3068237,226.9658508,111.4937363,1.6835504,104,,,none,,,,,0.0000000,1.5000000,,76.033204197900247
7,105,37.2377014,27.3470001,3.0000000,0.0000000,1.5000000,0.0000000,120.0638351,0.9999999,163.7837830,1.1454836,219.5290985,107.2024231,109.0569305,35.7614288,0.0838893,3.0000005,1.0000001,3.0000002,1.0000001,120.0638428,163.7837830,3.0000002,0.0000000,0.0000000,40.0212784,34.9383278,1.1454836,649.0888062,220.8536072,67.3259506,215.7960663,5.9799151,35.7614288,0.0838893,3.0000005,1.0000001,3.0000002,1.0000001,120.0638428,163.7837830,3.0000002,0.0000000,0.0000000,40.0212784,34.9383278,1.1454836,649.0888062,220.8536072,67.3259506,215.7960663,5.9799151,35.7614288,0.0838893,3.0000005,1.0000001,3.0000002,1.0000001,120.0638428,163.7837830,3.0000002,0.0000000,0.0000000,40.0212784,34.9383278,1.1454836,649.0888062,220.8536072,67.3259506,215.7960663,5.9799151,35.7614288,0.0838893,3.0000005,1.0000001,3.0000002,1.0000001,120.0638428,163.7837830,3.0000002,0.0000000,0.0000000,40.0212784,34.9383278,1.1454836,649.0888062,220.8536072,67.3259506,215.7960663,5.9799151,35.7614288,0.0838893,3.0000005,1.0000001,3.0000002,1.0000001,120.0638428,163.7837830,3.0000002,0.0000000,0.0000000,40.0212784,34.9383278,1.1454836,649.0888062,220.8536072,67.3259506,215.7960663,5.9799151,35.7614288,0.0838893,3.0000005,1.0000001,3.0000002,1.0000001,120.0638428,163.7837830,3.0000002,0.0000000,0.0000000,40.0212784,34.9383278,1.1454836,649.0888062,220.8536072,67.3259506,215.7960663,5.9799151,105,,,none,,,,,0.0000000,1.5000000,,116.781724243586552
8,109,35.4137993,38.1767006,5.0000000,0.0000000,4.0000000,2.0000000,58.0873032,1.0000000,14.5443220,1.0023396,269.8103638,74.2732239,72.8917694,80.3058090,0.2549469,38.3333321,3.2360368,4.5023766,4.0000000,306.2634583,155.9202576,11.0000000,3.0000000,9.0000000,50.7500038,35.2402611,1.4265956,8410.6787109,356.3158264,112.7235031,338.7370605,1.2012388,136.1367798,0.2868110,73.3333359,4.0740743,5.0000000,8.0000000,687.9620972,580.8564453,18.0000000,4.0000000,12.0000000,130.9231720,87.1756363,1.4836721,29747.2207031,793.3068237,265.6004028,100.9744644,1.6835504,136.1367798,0.2868110,73.3333359,4.0740743,5.0000000,8.0000000,687.9620972,580.8564453,18.0000000,4.0000000,12.0000000,130.9231720,87.1756363,1.4836721,29747.2207031,793.3068237,265.6004028,100.9744644,1.6835504,136.1367798,0.2868110,73.3333359,4.0740743,5.0000000,8.0000000,687.9620972,580.8564453,18.0000000,4.0000000,12.0000000,130.9231720,87.1756363,1.4836721,29747.2207031,793.3068237,265.6004028,100.9744644,1.6835504,136.1367798,0.2868110,73.3333359,4.0740743,5.0000000,8.0000000,687.9620972,580.8564453,18.0000000,4.0000000,12.0000000,130.9231720,87.1756363,1.4836721,29747.2207031,793.3068237,265.6004028,100.9744644,1.6835504,136.1367798,0.2868110,73.3333359,4.0740743,5.0000000,8.0000000,687.9620972,580.8564453,18.0000000,4.0000000,12.0000000,130.9231720,87.1756363,1.4836721,29747.2207031,793.3068237,265.6004028,100.9744644,1.6835504,109,,,no_58,,,,,0.0000000,4.0000000,,57.885817097965543
9,110,35.4137993,35.7000008,3.0000000,0.0000000,3.0000000,2.0000000,48.5413742,1.0000000,58.8782997,1.1073011,297.8079529,80.6946945,80.5873718,118.1940384,0.1646929,27.0000000,2.3052585,2.7014260,4.0000000,306.2634583,155.9202728,11.0000000,2.0000000,6.0000000,54.7535515,28.9395370,1.8114262,8410.6787109,356.3158264,102.9051285,326.6564331,1.2012388,179.0333405,0.1905120,48.0000000,2.6666667,3.0000000,8.0000000,687.9620972,580.8564453,18.0000000,4.0000000,12.0000000,131.5136261,78.9920349,1.7536874,29747.2207031,793.3068237,255.8264465,105.7511520,1.6835504,179.0333405,0.1905120,48.0000000,2.6666667,3.0000000,8.0000000,687.9620972,580.8564453,18.0000000,4.0000000,12.0000000,131.5136261,78.9920349,1.7536874,29747.2207031,793.3068237,255.8264465,105.7511520,1.6835504,179.0333405,0.1905120,48.0000000,2.6666667,3.0000000,8.0000000,687.9620972,580.8564453,18.0000000,4.0000000,12.0000000,131.5136261,78.9920349,1.7536874,29747.2207031,793.3068237,255.8264465,105.7511520,1.6835504,179.0333405,0.1905120,48.0000000,2.6666667,3.0000000,8.0000000,687.9620972,580.8564453,18.0000000,4.0000000,12.0000000,131.5136261,78.9920349,1.7536874,29747.2207031,793.3068237,255.8264465,105.7511520,1.6835504,179.0333405,0.1905120,48.0000000,2.6666667,3.0000000,8.0000000,687.9620972,580.8564453,18.0000000,4.0000000,12.0000000,131.5136261,78.9920349,1.7536874,29747.2207031,793.3068237,255.8264465,105.7511520,1.6835504,110,,,no_58,,,,,0.0000000,3.0000000,,48.531233061012983
10,112,0.0000000,0.0000000,2.0000000,0.0000000,1.5000000,0.0000000,38.6858482,1.0000000,95.5230637,1.2099941,103.9610214,50.3283386,51.2519646,16.9669132,0.1178765,1.3333334,0.6666667,2.0000000,1.0000000,38.6858482,95.5230637,2.0000000,0.0000000,0.0000000,12.8952827,10.6573105,1.2099941,118.9062347,69.9015884,42.0521393,269.6803589,3.2700891,16.9669132,0.1178765,1.3333334,0.6666667,2.0000000,1.0000000,38.6858482,95.5230637,2.0000000,0.0000000,0.0000000,12.8952827,10.6573105,1.2099941,118.9062347,69.9015884,42.0521393,269.6803589,3.2700891,16.9669132,0.1178765,1.3333334,0.6666667,2.0000000,1.0000000,38.6858482,95.5230637,2.0000000,0.0000000,0.0000000,12.8952827,10.6573105,1.2099941,118.9062347,69.9015884,42.0521393,269.6803589,3.2700891,16.9669132,0.1178765,1.3333334,0.6666667,2.0000000,1.0000000,38.6858482,95.5230637,2.0000000,0.0000000,0.0000000,12.8952827,10.6573105,1.2099941,118.9062347,69.9015884,42.0521393,269.6803589,3.2700891,16.9669132,0.1178765,1.3333334,0.6666667,2.0000000,1.0000000,38.6858482,95.5230637,2.0000000,0.0000000,0.0000000,12.8952827,10.6573105,1.2099941,118.9062347,69.9015884,42.0521393,269.6803589,3.2700891,16.9669132,0.1178765,1.3333334,0.6666667,2.0000000,1.0000000,38.6858482,95.5230637,2.0000000,0.0000000,0.0000000,12.8952827,10.6573105,1.2099941,118.9062347,69.9015884,42.0521393,269.6803589,3.2700891,112,,,no_58,,,,,0.5000000,1.0000000,,38.311414349790041
